Type,Titles (CIVIL SERVICE and non-civil service),Standard Titles,Area
Academic Library,academic reference librarian,Librarian I,Librarian
Academic Library,ARCHIVIST,Archivist,Librarian
Academic Library,ASSISTANT DIRECTOR BUDGET PLANNING AND LIBRARY OPERATIONS,Assistant Director,Library Administration
Academic Library,assistant professor,Librarian I,Librarian
Academic Library,chief librarian,Director,Library Administration
Academic Library,DEPARTMENT MANAGER,Librarian II (Dept Head),Librarian
Academic Library,director,Director,Library Administration
Academic Library,electronic resources librarian,Librarian I,Librarian
Academic Library,head of resource & collection services,Librarian II (Dept Head),Librarian
Academic Library,instructional support specialist,Instructional Support Specialist,Information Technology
Academic Library,instructional support technician,Instructional Support Technician,Information Technology
Academic Library,librarian,Librarian I,Librarian
Academic Library,LIBRARY CLERK 3,Library Clerk,Support Staff
Academic Library,LIBRARY MEDIA SPECIALIST (K-6),School Media Specialist,Librarian
Academic Library,"manager, access & user services",Circulation Manager,Support Staff
Academic Library,professor,Librarian III,Librarian
Academic Library,PROFESSOR,Librarian III,Librarian
Academic Library,REFERENCE LIBRARIAN,Librarian I,Librarian
Academic Library,REFERENCE LIBRARIAN/ASSOCIATE DIRECTOR,Librarian II,Librarian
Academic Library,senior assistant librarian,Librarian I,Librarian
Academic Library,SENIOR ASSISTANT LIBRARIAN,Librarian I,Librarian
Academic Library,SYSTEMS LIBRARIAN,Librarian I,Librarian
Public Library,1KJ CLEANER   ,Cleaner,Building/Custodial Staff
Public Library,1KJ CLEANER PART TIME,Cleaner,Building/Custodial Staff
Public Library,1KK CLEANER,Cleaner,Building/Custodial Staff
Public Library,1KK CLEANER    ,Cleaner,Building/Custodial Staff
Public Library,1MA CUSTODIAN   ,Custodian,Building/Custodial Staff
Public Library,6JF MAINTAINER,Maintainer,Support Staff
Public Library,ACA AFL AFT CLERK & CLERK TYPIST  ,Library Clerk,Support Staff
Public Library,ACA CLERK PART TIME (NON COMP),Library Clerk,Support Staff
Public Library,ACCOUNT CLERK,Account Clerk,Support Staff
Public Library,ACCOUNT CLERK ,Account Clerk,Support Staff
Public Library,ACCOUNT CLERK (CAK),Account Clerk,Support Staff
Public Library,ACCOUNT CLERK P/T,Account Clerk,Support Staff
Public Library,"ACCOUNT CLERK, P-T",Account Clerk,Support Staff
Public Library,ACCOUNT CLK ,Account Clerk,Support Staff
Public Library,ACCOUNTS CLERK,Account Clerk,Support Staff
Public Library,ACD CLERK,Library Clerk,Support Staff
Public Library,"ACD CLERK, AGA CLERK TYPIST, AC0 BI-LINGUAL CLERK, AFN BI-LINGUAL TYPIST CLERK   ",Library Clerk,Support Staff
Public Library,ACG  CLERK SUBSTITUTE            ,Library Clerk,Support Staff
Public Library,ACH CLERK PART TIME,Library Clerk,Support Staff
Public Library,ACK SENIOR CLERK,Senior Library Clerk,Building/Custodial Staff
Public Library,ACM PRINCIPAL CLERK,Principal Library Clerk,Support Staff
Public Library,admin assist,Administrative Assistant,Support Staff
Public Library,ADMIN ASSISTANT/NET & SYS TECH,Administrative Assistant,Support Staff
Public Library,ADMIN. ASSIST ,Administrative Assistant,Support Staff
Public Library,administrative assistant,Administrative Assistant,Support Staff
Public Library,ADMINISTRATIVE ASSISTANT,Administrative Assistant,Support Staff
Public Library,ADMINISTRATIVE ASSISTANT (FLK),Administrative Assistant,Support Staff
Public Library,ADMINISTRATIVE ASST.,Administrative Assistant,Support Staff
Public Library,adult program coordinator,Librarian I,Librarian
Public Library,adult reference librarian,Librarian I,Librarian
Public Library,adult services coordinator,Librarian I,Librarian
Public Library,AFL TYPIST CLERK PART TIME,Library Clerk,Support Staff
Public Library,AFT TYPIST CLERK PART TIME (NON COMP),Library Clerk,Support Staff
Public Library,AGA TYPIST CLERK,Library Clerk,Support Staff
Public Library,AGF  SENIOR TYPIST CLERK   ,Senior Library Clerk,Building/Custodial Staff
Public Library,ARCHIVIST,Archivist,Librarian
Public Library,assistant director,Assistant Director,Library Administration
Public Library,ASSISTANT DIRECTOR,Assistant Director,Library Administration
Public Library,assistant director/business manager,Assistant Director,Library Administration
Public Library,ASSISTANT LIBRARY DIRECTOR,Assistant Director,Library Administration
Public Library,ASSISTANT LIBRARY DIRECTOR ,Assistant Director,Library Administration
Public Library,ASSISTANT LIBRARY DIRECTOR (NQF),Assistant Director,Library Administration
Public Library,ASSOCIATE ADMINISTRATOR,Associate Administrator,Library Administration
Public Library,ASST LIB DIR,Assistant Director,Library Administration
Public Library,ATTORNEY TO THE LIBRARY BOARD,Attorney,Library Administration
Public Library,AUDIO VISUAL TECHNICIAN,Audiovisual Technician,Information Technology
Public Library,bilingual clerk pt,Library Clerk,Support Staff
Public Library,bilingual lib. trainee,Librarian Trainee,Librarian
Public Library,bilingual lib. trainee ft,Librarian Trainee,Librarian
Public Library,bilingual libarian asst pt,Library Assistant,Support Staff
Public Library,bilingual librarian asst ft,Library Assistant,Support Staff
Public Library,bilingual librarian ft,Librarian I,Librarian
Public Library,bilingual librarian pt,Librarian I,Librarian
Public Library,bookkeeper,Bookkeeper,Library Administration
Public Library,BUILDING MAINTENANCE MANAGER,Building Maintenance Manager,Building/Custodial Staff
Public Library,building manager,Business Manager,Library Administration
Public Library,BUISNESS MANAGER ,Business Manager,Library Administration
Public Library,business manager,Business Manager,Library Administration
Public Library,BUSINESS MANAGER,Business Manager,Library Administration
Public Library,BUSINESS MANAGER I,Business Manager,Library Administration
Public Library,business office clerk,Account Clerk,Support Staff
Public Library,CAJ ACCOUNT CLERK    ,Account Clerk,Support Staff
Public Library,CAK ACCOUNT CLERK,Account Clerk,Support Staff
Public Library,CAK ACCOUNT CLERK   ,Account Clerk,Support Staff
Public Library,CAP  SENIOR ACCOUNT CLERK  ,Senior Account Clerk,Support Staff
Public Library,CAP SENIOR ACCOUNT CLERK,Senior Account Clerk,Support Staff
Public Library,CAR SENIOR ACCOUNT CLERK    ,Senior Account Clerk,Support Staff
Public Library,CBA PRINCIPAL ACCOUNT CLERK,Principal Account Clerk,Support Staff
Public Library,CHILDREN'S LIBRARIAN,Librarian I,Librarian
