Record Id,Submitted,Institution,Type (from Notes),County,Spreadsheet,Civil Service Code,Job Title,Starting Salary,Current Salary,Hours/Week,Full Time Hours,Education Required,Number of Staff Supervised (direct and indirect reports),Years of Experience,Spreadsheet Received,PT-FT
155,5/13/2024 1:27pm,Molloy University - James E. Tobin Library,Academic Library,,,,Program Coordinator,,"$50,000.00 ",35,35,Bachelors Only,0,,,
165,5/14/2024 10:24am,Suffolk County Community College Library - Ammerman,Academic Library,,,,Professor of Library Services,,"$143,215.00 ",35,35,"MLIS,Other Masters",2,,,
170,5/14/2024 2:04pm,St. Joseph's University - Callahan Library,Academic Library,,,,Curriculum Librarian,,"$70,000.00 ",35,35,MLIS,0,,,
174,5/15/2024 11:41am,St. Joseph's University - Callahan Library,Academic Library,,,,Librarian,,$36.00 ,28,0,MLIS,0,,,
180,5/20/2024 8:08am,US Merchant Marine Academy - Bland Memorial Library,Academic Library,,,,Reference Librarian,,"$77,493.00 ",40,40,"MLIS,Other Masters",0,,,
182,5/20/2024 8:28am,Stony Brook University - Melville Library,Academic Library,,,,Senior Assistant Librarian,,"$80,459.00 ",40,37.5,MLIS,0,,,
185,5/20/2024 9:15am,St. Joseph's University - Callahan Library,Academic Library,,,,Archivist,,"$74,880.00 ",10,40,MLIS,0,,,
186,5/20/2024 9:24am,Stony Brook University - Melville Library,Academic Library,,,,Resource Sharing Coordinator`,,"$54,000.00 ",37.5,37.5,"Bachelors Only,Other Masters",5,,,
188,5/20/2024 10:52am,Nassau Community College Library,Academic Library,,,,Professor,,"$135,000.00 ",33.8,33.8,MLIS,0,,,
248,5/28/2024 11:20am,Stony Brook University - Melville Library,Academic Library,,,,Instructional Support Technician,,"$69,492.00 ",37.5,37.5,Bachelors Only,0,,,
249,5/28/2024 11:21am,US Merchant Marine Academy - Bland Memorial Library,Academic Library,,,,Reference Librarian,,"$77,000.00 ",40,40,"MLIS,Other Masters",0,,,
254,5/28/2024 12:27pm,Farmingdale State College - Greenley Library,Academic Library,,,,Library Director,,"$109,000.00 ",40,40,MLIS,20,,,
261,5/29/2024 9:24am,Stony Brook University - Melville Library,Academic Library,,,,Instructional Support Technician,,,40,40,High School Only,0,,,
270,5/29/2024 4:53pm,New York Institute of Technology - Wisser Library,Academic Library,,,,Librarian,,,40,40,"MLIS,Other Masters",1,,,
271,5/30/2024 12:22pm,St. Joseph's University - Callahan Library,Academic Library,,,,Executive Director of Libraries,,"$99,850.00 ",,,"MLIS,Doctorate",30,,,Full Time
272,5/30/2024 12:43pm,Suffolk  County Historical Society Library Archives,Historical Society or Museum,,,,Head Librarian ,,"$49,000.00 ",,,MLIS,3,,,Part Time
157,5/13/2024 2:25pm,Nassau University Medical Center Library,Hospital Library,,,,Medical Librarian,,"$92,000.00 ",35,1834,MLIS,1,,,
171,5/14/2024 2:07pm,St. Francis Hospital & Heart Center,Hospital Library,,,,Medical Librarian,,"$89,090.24 ",35.5,35.5,MLIS,0,,,
153,5/13/2024 1:21pm,Western Suffolk BOCES School Library System,Library System,,,,Library Media Specialist,,"$155,000.00 ",35,35,MLIS,2,,,
156,5/13/2024 1:57pm,Western Suffolk BOCES School Library System,Library System,,,,school librarian,,"$155,000.00 ",35,35,MLIS,1,,,
159,5/13/2024 3:24pm,Western Suffolk BOCES School Library System,Library System,,,,Director,,"$101,003.00 ",37.5,7.5,"MLIS,Other Masters",0.5,,,
160,5/13/2024 3:31pm,Western Suffolk BOCES School Library System,Library System,,,,Elementary Library Media Specialist,,"$67,000.00 ",40,40,MLIS,1,,,
161,5/13/2024 4:01pm,Western Suffolk BOCES School Library System,Library System,,,,Library Media Specialist,,"$78,000.00 ",35,35,MLIS,0.5,,,
162,5/14/2024 7:55am,Western Suffolk BOCES School Library System,Library System,,,,School Media Specialist,,"$76,575.54 ",35,35,MLIS,1,,,
163,5/14/2024 8:44am,Western Suffolk BOCES School Library System,Library System,,,,librarian,,,40,40,MLIS,0,,,
164,5/14/2024 9:10am,Western Suffolk BOCES School Library System,Library System,,,,School Media Specialist,,,40,40,MLIS,1,,,
177,5/16/2024 1:14pm,Western Suffolk BOCES School Library System,Library System,,,,Library Media Specialist,,"$66,000.00 ",35,35,"MLIS,Other Masters",0,,,
181,5/20/2024 8:27am,Eastern Suffolk BOCES School Library System,Library System,,,,School Media Specialist,,"$96,015.00 ",35,35,MLIS,0,,,
183,5/20/2024 8:41am,Eastern Suffolk BOCES School Library System,Library System,,,,School Media Specialist,,"$141,641.00 ",35,35,MLIS,0,,,
184,5/20/2024 8:42am,Eastern Suffolk BOCES School Library System,Library System,,,,School Media Specialist 18 years,,"$116,500.00 ",35,35,"Other Masters,MLIS",1,,,
189,5/20/2024 12:15pm,Western Suffolk BOCES School Library System,Library System,,,,School Library Media Specialist,,"$113,000.00 ",40,8304,"Other Masters,MLIS",0.5,,,
191,5/20/2024 1:29pm,Western Suffolk BOCES School Library System,Library System,,,,School Library Media Specialists,,"$78,000.00 ",40,720,Other Masters,3,,,
193,5/21/2024 3:17pm,Western Suffolk BOCES School Library System,Library System,,,,Librarian,,"$70,110.00 ",35,35,"High School Only,Bachelors Only,Other Masters",0,,,
197,5/28/2024 8:41am,Nassau Library System,Library System,,,,Library Director,,"$117,778.00 ",35,35,MLIS,25,,,
198,5/28/2024 8:43am,Nassau Library System,Library System,,,,Librarian II,,"$105,087.00 ",35,35,MLIS,20,,,
199,5/28/2024 8:44am,Nassau Library System,Library System,,,,Librarian I,,"$91,109.00 ",35,35,MLIS,10,,,
200,5/28/2024 8:48am,Nassau Library System,Library System,,,,Senior Library Clerk,,"$61,825.00 ",35,35,High School Only,5,,,
201,5/28/2024 8:49am,Nassau Library System,Library System,,,,Account Clerk,,"$70,325.00 ",35,35,High School Only,5,,,
202,5/28/2024 8:49am,Nassau Library System,Library System,,,,Library Aide,,"$74,019.00 ",35,35,High School Only,0,,,
203,5/28/2024 8:50am,Nassau Library System,Library System,,,,Clerical Aide P/H,,"$58,440.00 ",35,35,High School Only,0,,,
204,5/28/2024 8:52am,Nassau Library System,Library System,,,,Typist-Clerk P/T,,"$27,024.00 ",17,35,High School Only,0,,,
205,5/28/2024 8:52am,Nassau Library System,Library System,,,,Library Page P/T,,"$15,744.00 ",17,35,High School Only,0,,,
206,5/28/2024 9:16am,Nassau Library System,Library System,,,,Director,,"$99,075.00 ",40,40,MLIS,20,,,
208,5/28/2024 9:35am,Suffolk Cooperative Library System,Library System,,,,Librarian I,,"$93,525.00 ",35,35,MLIS,0,,,
209,5/28/2024 9:42am,Suffolk Cooperative Library System,Library System,,,,Librarian II,,"$85,424.00 ",35,35,MLIS,2,,,
210,5/28/2024 9:42am,Suffolk Cooperative Library System,Library System,,,,Librarian I,,"$86,089.00 ",35,35,MLIS,0,,,
211,5/28/2024 9:43am,Suffolk Cooperative Library System,Library System,,,,Librarian II,,"$83,097.00 ",35,35,MLIS,5,,,
212,5/28/2024 9:45am,Suffolk Cooperative Library System,Library System,,,,Librarian III,,"$113,229.00 ",35,35,MLIS,12,,,
213,5/28/2024 9:45am,Suffolk Cooperative Library System,Library System,,,,Librarian II,,"$103,641.00 ",35,35,MLIS,5,,,
214,5/28/2024 9:46am,Suffolk Cooperative Library System,Library System,,,,Librarian II,,"$78,632.00 ",35,35,MLIS,5,,,
215,5/28/2024 9:46am,Suffolk Cooperative Library System,Library System,,,,Librarian I,,"$72,944.00 ",35,35,MLIS,0,,,
216,5/28/2024 9:47am,Suffolk Cooperative Library System,Library System,,,,Librarian II,,"$92,803.00 ",35,35,MLIS,0,,,
