Title (civil servce title for civil service libraries),Other Title (if different than civil service title),Annual Salary,Hourly Rate (Part-Time),Part-Time
LIBRARY DIRECTOR,,168937.0,,FULL TIME
ADMINISTRATIVE ASST.,,131061.0,,FULL TIME
ASSISTANT LIBRARY DIRECTOR,,126198.0,,FULL TIME
LIBRARIN III ,,83532.0,,FULL TIME
LIBRARIAN II - A,,87353.0,,FULL TIME
                       - B,,81017.0,,FULL TIME
                       - C,,78223.0,,FULL TIME
                       - D,,73248.0,,FULL TIME
                       - E,,73248.0,,FULL TIME
                       - F,,64578.0,,FULL TIME
LIBRARIAN I - A,,64500.0,,FULL TIME
                      - B,,60000.0,,FULL TIME
                      - C,,60000.0,,FULL TIME
INFORMATION SPECIALIST I,,54500.0,,FULL TIME
INFORMATION TECH AIDE II,,74914.0,,FULL TIME
LIBRARY AIDE - A,,58511.0,,FULL TIME
                          - B,,45500.0,,FULL TIME
                          - C,,40000.0,,FULL TIME
TYPIST-CLERK - A,,45500.0,,FULL TIME
                           - B,,45500.0,,FULL TIME
CLERK - A,,64200.0,,FULL TIME
             - B,,51500.0,,FULL TIME
             - C,,59651.0,,
SENIOR LIBRARY CLERK - A,,61936.0,,FULL TIME
                                            - B,,59937.0,,FULL TIME
ILLUSTRATOR,,49420.0,,FULL TIME
MAINTAINER,,55574.0,,FULL TIME
HEAD CUSTODIAN,,84134.0,,FULL TIME
,,,,
TREASURER,,,52.75,PART TIME
LIBRARIAN I - A,,,36.52,PART TIME
                      - B,,,32.27,PART TIME
                      - C,,,26.0,PART TIME
LIBRARIAN I  COMPET. ,,,27.43,PART TIME
LIBRARIAN 1  SUB.,,,32.56,PART TIME
LIBRARY AIDE - A,,,34.09,PART TIME
                          - B,,,24.27,PART TIME
                          - C,,,23.21,PART TIME
LIBRARIAN TRAINEE,,,21.1,PART TIME
,,,,
TYPIST/CLERK - A,,,20.05,PART TIME
                           - B,,,19.0,PART TIME
TYPIST/CLERK  COMPET - A,,,31.41,PART TIME
                                            - B,,,19.0,PART TIME
CLERK ,,,27.43,PART TIME
PAGE - A,,,16.14,PART TIME
           - B,,,16.14,PART TIME
           - C,,,16.14,PART TIME
           - D,,,16.14,PART TIME
           - E,,,16.14,PART TIME
           - F,,,16.14,PART TIME
           - G,,,16.14,PART TIME
           - H,,,16.0,PART TIME
           - I,,,16.0,PART TIME
           - J,,,16.0,PART TIME
           - K,,,16.0,PART TIME
           - L,,,16.0,PART TIME
           - M,,,16.0,PART TIME
           - N,,,16.0,PART TIME
           - O,,,16.0,PART TIME
CLEANER - A,,,27.43,PART TIME
                  - B,,,25.32,PART TIME
                  - C,,,20.0,PART TIME
                  - D,,,20.0,PART TIME
MAINTENANCE HELPER,,,23.21,PART TIME
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
