library,library_type,county,civil_service_title,other_title,annual_salary,hour_rate,part_time
Amagansett,association/public,Suffolk,,Director,137651.88,75.63,
Amagansett,association/public,Suffolk,,Head of Adult & Teen Services (Adult Dept head),74347.0,40.85,
Amagansett,association/public,Suffolk,,Children's Services Coordinator (Library Assistant),54363.4,29.87,
Amagansett,association/public,Suffolk,,Head of Circulation,73054.8,40.14,
Amagansett,association/public,Suffolk,,Head of Tech Services,65611.0,36.05,
Amagansett,association/public,Suffolk,,Clerk,50614.2,27.81,
Amagansett,association/public,Suffolk,,Clerk,,29.07,yes
Amagansett,association/public,Suffolk,,Clerk,,20.6,yes
Amagansett,association/public,Suffolk,,Clerk,,18.5,yes
Amagansett,association/public,Suffolk,,Library Assistant (Reference),,31.9,yes
Amagansett,association/public,Suffolk,,Seasonal Page,,16.0,yes
