Title (civil servce title for civil service libraries),Other Title (if different than civil service title),Annual Salary,Hourly Rate (Part-Time),Part-Time
,,,,False
Library Director,,166210.0,,False
,,,,False
Bus. Mgr. II,,164895.0,,False
,,,,False
Libn. III,,109162.0,,False
Libn. III,,102231.0,,False
Libn. III,,87205.0,,False
Libn. I,,87373.0,,False
Libn. I,,72522.0,,False
Libn. I,,72522.0,,False
Libn. I,,71594.0,,False
,,,,False
Libn. Trainee,,66601.0,,False
,,,,False
Libn. I  P/T,,,37.39,False
Libn. I  P/T,,,37.39,False
,,,,False
Library Asst.,,69819.0,,False
,,,,False
Sr. Acct. Clerk,,88720.0,,False
Sr. Acct. Clerk,,75830.0,,False
,,,,False
Prin. Lib. Clerk,,60091.0,,False
,,,,False
Sr. Lib. Clerk ,,52877.0,,False
Sr. Lib. Clerk ,,52877.0,,False
,,,,False
Library Clerk,,51758.0,,False
Library Clerk,,48573.0,,False
,,,,False
Office Assistant,,51758.0,,False
,,,,False
Lib. Clerk P/T,,,19.53,False
Lib. Clerk P/T,,,20.75,False
Lib. Clerk P/T,,,19.09,False
Lib. Clerk P/T,,,20.75,False
Lib. Clerk P/T,,,20.41,False
Lib. Clerk P/T,,,25.82,False
Lib. Clerk P/T,,,19.09,False
Lib. Clerk P/T,,,27.12,False
,,,,False
Network Sys.Ad.,,103795.0,,False
Network & Sys Tech.,,80652.0,,False
,,,,False
Network & Sys Tech.P/T,,,28.85,False
,,,,False
Page P/T,,,20.5,False
Page P/T,,,18.03,False
,,,,False
Cust. Wkr. II F/T,,61298.0,,False
Cust. Wkr. II F/T,,61298.0,,False
Cust. Wkr. I  F/T,,46756.0,,False
,,,,False
Treasurer,,13850.0,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
