Title (civil servce title for civil service libraries),Other Title (if different than civil service title),Starting Annual Salary,Starting Hourly Rate,Part time
LIBRARY DIRECTOR,,"115,000",,FULL TIME
ADMINISTRATIVE ASST.,,"62,000",,FULL TIME
ASSISTANT LIBRARY DIRECTOR ,,"85,000",,FULL TIME
LIBRARIAN II ,,"65,000",,FULL TIME
LIBRARIAN I ,,"60,000",,FULL TIME
INFORMATION SPECIALIST I,,"50,000",,FULL TIME
INFORMATION TECH AIDE II ,,"48,726",,FULL TIME
LIBRARIAN TRAINEE ,,"36,400",,FULL TIME
LIBRARY AIDE ,,"40,000",,FULL TIME
TYPIST-CLERK ,,"40,000",,FULL TIME
CLERK,,"40,000",,FULL TIME
SENIOR LIBRARY CLERK,,"43,000",,FULL TIME
ILLUSTRATOR,,"30,000",,FULL TIME
MAINTAINER ,,"35,000",,FULL TIME
HEAD CUSTODIAN ,,"45,000",,FULL TIME
,,,,
TREASURER ,,,50.00,PART TIME
LIBRARIAN I ,,,26.00,PART TIME
LIBRARIAN I COMPET.,,,26.00,PART TIME
LIBRARIAN I SUB.,,,26.00,PART TIME
LIBRARY AIDE ,,,19.00,PART TIME
LIBRARIAN TRAINEE ,,,20.00,PART TIME
CLERK ,,,19.00,PART TIME
CLERK COMPET.,,,19.00,PART TIME
TYPIST-CLERK COMPET. ,,,19.00,PART TIME
PAGE ,,,15.00,PART TIME
CLEANER ,,,20.00,PART TIME
MAINTENANCE HELPER,,,20.00,PART TIME
