Title (civil servce title for civil service libraries),Other Title (if different than civil service title),Annual Salary,Hourly Rate (Part-Time),Part-Time
Clerk,,52353.86,,False
FT - Library Clerk,,59506.46,,False
FT - Principal Clerk,,65147.159999999996,,False
FT Clerk Typist,,54876.119999999995,,False
FT Librarian I,,82421.3,,False
FT Librarian I,,62677.67999999999,,False
FT Librarian Ii,,92532.44,,False
FT Librarian Ii,,96404.36,,False
FT Librarian Ii,,86298.94,,False
FT Librarian Iii,,89989.90000000001,,False
FT Librarian Iii,,89649.04,,False
FT Library Clerk,,57773.82000000001,,False
FT Library Clerk,,57745.48,,False
Account Clerk,,22683.7312,27.2641,True
Custodial Worker I,,5505.76,26.47,True
Custodial Worker I,,22360.0,21.5,True
Custodian I,,15805.919999999998,25.33,True
Custodian I,,4209.92,20.24,True
Page,,16956.16,20.38,True
Page,,6240.0,15.0,True
Page,,15749.76,18.93,True
Page,,8190.0,15.0,True
Page,,8580.0,15.0,True
Page,,8580.0,15.0,True
Page,,12920.96,15.53,True
Page,,8356.4,16.07,True
Page,,8356.4,16.07,True
Page,,12717.12,20.38,True
Page,,8356.4,16.07,True
Page,,7800.0,15.0,True
Page,,7800.0,15.0,True
PT Clerk,,24087.699999999997,26.47,True
PT Clerk,,24087.699999999997,26.47,True
PT Clerk,,13888.679999999998,18.42,True
PT Librarian I,,6938.88,33.36,True
PT Librarian I,,6805.76,32.72,True
PT Librarian I,,6805.76,32.72,True
PT Librarian I,,5955.04,32.72,True
PT Librarian I,,7977.060000000001,34.09,True
PT Librarian I,,8160.88,33.04,True
PT Librarian I,,18853.12,45.32,True
PT Librarian I,,2977.52,32.72,True
PT Librarian I,,2977.52,32.72,True
PT Librarian I (Cs),,9174.88,44.11,True
PT Librarian I (Cs),,14538.419999999998,29.43,True
PT Librarian Ii,,8243.04,39.63,True
PT Library Clerk,,24087.699999999997,26.47,True
PT Library Clerk,,34246.16,25.33,True
PT Library Clerk,,24087.699999999997,26.47,True
PT Library Clerk,,16607.5,18.25,True
PT Library Clerk,,7117.5,18.25,True
PT Library Clerk,,11068.98,18.51,True
PT Library Clerk,,6592.56,21.13,True
PT Library Clerk,,10831.599999999999,20.83,True
PT Library Clerk,,10667.800000000001,18.65,True
PT Network/Sys.Special,,27902.160000000003,32.52,True
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
