Title (civil servce title for civil service libraries),Other Title (if different than civil service title),Annual Salary,Hourly Rate (Part-Time),Part-Time
LIBRARIAN I,,52780.0,,False
LIBRARIAN I PART-TIME SUBSTITUTE,,,22.0,True
TREASURER PART-TIME,,,55.0,True
LIBRARIAN 1 PART-TIME,,,26.25,True
LIBRARY DIRECTOR,,123622.0,,False
"ACCOUNT CLERK, PART-TIME",,,55.0,True
"LIBRARIAN 1, PART-TIME",,,24.0,True
ASSISTANT LIBRARY DIRECTOR,,77003.0,,False
LIBRARIAN I PART-TIME,,,27.05,True
LIBRARIAN I PART-TIME,,,26.25,True
SENIOR LIBRARY CLERK,,,20.75,True
TYPIST CLERK PART-TIME,,,16.5,True
SECRETARY TO THE LIBRARY BOARD,,,25.0,True
TYPIST CLERK PART-TIME,,,18.0,True
PRINCIPAL LIBRARY CLERK,,61370.0,,False
LIBRARY AIDE,,39694.0,,False
LIBRARY AIDE PART-TIME,,,21.3,True
TYPIST CLERK PART-TIME,,,16.75,True
SENIOR LIBRARY CLERK,,,20.75,True
PAGE PART-TIME,,,16.0,True
CLEANER,,,18.65,True
CLEANER PART-TIME SUBSTITUTE,,,16.0,True
CUSTODIAN,,47775.0,,False
CLEANER,,,17.0,True
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
