Title (civil servce title for civil service libraries),Other Title (if different than civil service title),Annual Salary,Hourly Rate ,Full/Part Time
ACCOUNT CLERK TYPIST,,47187.66,,Full Time
ASSISTANT DIRECTOR,,125047.52,,Full Time
BUSINESS MANAGER II,,132698.02,,Full Time
COMMUNITY SERV AIDE,,,16.0,Part Time
COMPUTER TECHNICIAN,,,20.31,Part Time
CUSTODIAL WORKER I,,,16.0,Part Time
CUSTODIAL WORKER I,,,18.39,Part Time
CUSTODIAL WORKER I,,,26.54,Part Time
CUSTODIAL WORKER II,,43477.2,,Full Time
CUSTODIAL WORKER III,,58000.0,,Full Time
CUSTODIAL WORKER III,,64479.22,,Full Time
GUARD,,,21.5,Part Time
GUARD,,,22.02,Part Time
GUARD,,,22.09,Part Time
GUARD,,,22.18,Part Time
GUARD,,,23.31,Part Time
GUARD,,,23.77,Part Time
GUARD,,,25.22,Part Time
LIB I CHILDRENS SERV,,59730.58,,Full Time
LIB I CHILDRENS SERV,,,24.72,Part Time
LIB I CHILDRENS SERV,,,25.92,Part Time
LIB I CHILDRENS SERV,,,29.85,Part Time
LIB I CHILDRENS SERV,,,38.84,Part Time
LIBRARIAN I,,53207.44,,Full Time
LIBRARIAN I,,54483.78,,Full Time
LIBRARIAN I,,72677.54,,Full Time
LIBRARIAN I,,,22.25,Part Time
LIBRARIAN I,,,24.72,Part Time
LIBRARIAN I,,,25.31,Part Time
LIBRARIAN I,,,26.54,Part Time
LIBRARIAN I,,,29.85,Part Time
LIBRARIAN I,,,31.68,Part Time
LIBRARIAN I,,,37.57,Part Time
LIBRARIAN I,,,58.62,Part Time
LIBRARIAN II,,59961.46,,Full Time
LIBRARIAN II,,70772.52,,Full Time
LIBRARIAN II,,75372.7,,Full Time
LIBRARIAN II,,81050.32,,Full Time
LIBRARIAN II,,83923.84,,Full Time
LIBRARIAN II,,103077.78,,Full Time
LIBRARIAN III,,84557.2,,Full Time
LIBRARIAN III,,90172.94,,Full Time
LIBRARIAN III,,93639.52,,Full Time
LIBRARIAN III,,95810.0,,Full Time
LIBRARIAN III,,114135.06,,Full Time
LIBRARIAN TRAINEE,,47902.66,,Full Time
LIBRARIAN TRAINEE,,,22.25,Part Time
LIBRARY ASSISTANT,,,23.54,Part Time
LIBRARY ASSISTANT,,46524.92,,Full Time
LIBRARY ASSISTANT,,,18.16,Part Time
LIBRARY ASSISTANT,,,26.76,Part Time
LIBRARY CLERK,,31893.42,,Full Time
LIBRARY CLERK,,32658.86,,Full Time
LIBRARY CLERK,,,16.0,Part Time
LIBRARY CLERK,,,17.15,Part Time
LIBRARY CLERK,,,20.48,Part Time
LIBRARY CLERK SS,,38716.6,,Full Time
LIBRARY CLERK SS,,,16.0,Part Time
LIBRARY DIRECTOR,,193687.0,,Full Time
LIT VOL PROG ASST SS,,35394.84,,Full Time
LIT VOL PROG CO ORD,,88404.68,,Full Time
NETWRK   SYSTEMS TEC,,111616.18,,Full Time
PAGE,,,16.0,Part Time
PAGE,,29120.0,,Full Time
PRINCIPAL ACCOUNT CLERK,,59000.0,,Full Time
PRINCIPAL LIB CLERK,,62914.28,,Full Time
PUBLIC RELATIONS SPC,,58626.62,,Full Time
SENIOR LIBRARY CLERK,,47347.82,,Full Time
SR ACCOUNT CLERK TYP,,70938.14,,Full Time
WEBSITE MANAGER,,,48.73,Part Time
