library,library_type,county,civil_service_title,other_title,annual_salary,hour_rate,part_time
North Bellmore,Public,Nassau,HET - Page,,,33.48,P/T
,,,NME - Librarian I,,,38.5,P/T
,,,ACD - Clerk,,55222.24,,F/T
,,,AGA - Typist Clerk,,45000.0,,F/T
,,,NLL - Principle Library Clerk,,,41.72,P/T
,,,NNA - Librarian II,,76968.0,,F/T
,,,NNA - Librarian II,,72800.0,,F/T
,,,ACA - Clerk,,,31.42,P/T
,,,ACA - Clerk,,,25.24,P/T
,,,NMF - Librarian I,,67600.0,,F/T
,,,1KK - Cleaner,,45000.0,,F/T
,,,1OP - Head Custodian I,,78000.0,,F/T
,,,NNA - Librarian II,,75400.0,,F/T
,,,NMH - Librarian I,,,34.63,P/T
,,,HET - Page,,,17.5,P/T
,,,HET - Page,,,24.46,P/T
,,,HET - Page,,,16.0,P/T
,,,CAF - Account Clerk,,,52.0,P/T
,,,NLA - Senior Library Clerk,,57678.4,,F/T
,,,NNA - Librarian II,,94700.0,,F/T
,,,NQF - Assistant Library Director,,97850.0,,F/T
,,,HET - Page,,,24.46,P/T
,,,1KI - Cleaner Temporary,,,20.0,P/T
,,,HET - Page,,,19.57,P/T
,,,1KJ - Cleaner,,,33.48,P/T
,,,NME - Librarian I,,,35.67,P/T
,,,BWD - Info. Tech. Specialist I,,,43.26,P/T
,,,NMH - Librarian I ,,,35.84,P/T
,,,AGB - Typist Clerk Substitute,,,20.0,P/T
,,,HET - Page,,,16.0,P/T
,,,HET - Page,,,16.0,P/T
,,,NMA - Librarian Trainee,,50000.0,,F/T
,,,HET - Page,,,35.65,P/T
,,,AFT - Typist Clerk,,,20.0,P/T
,,,NNA - Librarian II,,79919.52,,F/T
,,,HET - Page,,,33.48,P/T
,,,NQK - Library Director,,137582.64,,F/T
,,,HET - Page,,,33.31,P/T
,,,NME - Librarian I,,,49.94,P/T
,,,NME - Librarian I,,,39.08,P/T
,,,EDO - Public Info. Assistant,,,25.0,P/T
,,,HET - Page,,,16.0,P/T
