library,library_type,county,civil_service_title,other_title,annual_salary,hour_rate,part_time
Rockville Centre,School District,Nassau,Director,,156139.0,85.79065934,
,,,Assistant Director,Asst Dir./Head of Reference,120060.0,65.96703297,
,,,Principal Account Clerk,Dept. Head/Business Manager,90789.0,49.88406593,
,,,Librarian II,Dept Head/Head of Youth Services,90031.0,49.46758242,
,,,Librarian II,Dept. Head/Head of Circulation,79761.0,43.82472527,
,,,Head Custodian,Dept. Head/Head of Buildings,79761.0,43.82472527,
,,,Senior Account Clerk,Administration,64795.0,35.60164835,
,,,Senior Account Clerk,Administration,64635.0,35.51373626,
,,,IT Specialist I,,75190.0,41.31318681,
,,,Librarian II,,60118.0,33.03186813,
,,,Librarian II,,61395.0,33.73351648,
,,,Librarian II,,65530.0,36.00549451,
,,,Librarian II,,69212.0,38.02857143,
,,,Librarian II,,77530.0,42.5989011,
,,,Librarian II,,61395.0,33.73351648,
,,,Librarian II,,64199.0,35.27417582,
,,,Librarian Trainee,,50000.0,27.47252747,
,,,Sr. Library Clerk,,49572.0,27.23736264,
,,,Sr. Library Clerk,,47386.0,26.03626374,
,,,Sr. Library Clerk,,49454.0,27.17252747,
,,,Sr. Library Clerk,,46125.0,25.34340659,
,,,Typist Clerk,,42000.0,23.07692308,
,,,Maintainer,,73876.0,40.59120879,
,,,Cleaner,,47320.0,26.0,
,,,PT Librarian II ,,,52.09,PT
,,,PT Librarian I,,,30.75,PT
,,,PT Librarian I,,,30.0,PT
,,,PT Librarian I,,,30.75,PT
,,,PT Librarian I,,,30.0,PT
,,,PT Librarian I,,,30.75,PT
,,,PT Librarian I,,,30.75,PT
,,,PT Librarian I,,,33.3,PT
,,,PT Librarian I,,,30.75,PT
,,,PT Librarian I,,,37.35,PT
,,,PT Librarian I,,,35.48,PT
,,,PT Librarian I,,,31.75,PT
,,,PT Library Assistant,,,30.26,PT
,,,Librarian Trainee PT,,,25.63,PT
,,,Librarian Trainee PT,,,25.63,PT
,,,Clerk PT,,,26.75,PT
,,,Clerk PT,,,26.05,PT
,,,Typist Clerk PT,,,26.39,PT
,,,Typist Clerk PT,,,23.23,PT
,,,Page,,,16.0,PT
,,,Page,,,16.0,PT
,,,Page,,,16.0,PT
,,,Page,,,17.18,PT
,,,Page,,,21.25,PT
,,,Page,,,16.0,PT
,,,Cleaner PT,,,25.5,PT
,,,Cleaner PT,,,30.38,PT
,,,Cleaner PT,,,28.14,PT
,,,Cleaner PT,,,20.5,PT
