Title (civil servce title for civil service libraries),Other Title (if different than civil service title),Annual Salary,Hourly Rate (Part-Time),Part-Time
,Director,155000.04,,False
,Assistant Director,104847.6,,False
,Financial Administrator,99509.8,,False
,Computer Support Tech II,77109.5,,False
,Director of Public Relations & Programming,72000.24,,False
,Librarian III,137613.32,,False
,Librarian II ,81955.12,,False
,Librarian II,81955.12,,False
,Librarian II,93080.26,,False
,Librarian II,85280.26,,False
,Librarian II,83315.7,,False
,Librarian II,75344.1,,False
,Librarian II,81120.0,,False
,Librarian I,70467.8,,False
,Librarian I,70279.04,,False
,Librarian I,73061.3,,False
,Librarian I,75240.1,,False
,Librarian I,70279.04,,False
,Librarian Trainee,50081.46,,False
,Principal Clerk,70065.84,,False
,Senior Clerk,60075.6,,False
,Clerk,45057.22,,False
,Clerk,45057.22,,False
,Clerk,41468.18,,False
,Facilities Manager,77899.64,,False
,Custodian,45500.0,,False
,Archivist,,45.92,True
,Librarian,,57.5,True
,Librarian,,43.16,True
,Librarian,,36.47,True
,Librarian,,34.2,True
,Librarian,,36.47,True
,Librarian,,37.25,True
,Librarian,,33.53,True
,Librarian,,34.2,True
,Librarian Trainee,,27.52,True
,Librarian Trainee,,28.07,True
,Library Aide,,23.02,True
,Library Aide,,22.59,True
,Library Aide,,20.5,True
,Clerk,,27.1,True
,Clerk,,21.23,True
,Clerk,,37.04,True
,Clerk,,19.09,True
,Clerk,,19.99,True
,Clerk,,25.25,True
,Clerk,,19.09,True
,Custodian,,40.35,True
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
