library,library_type,county,civil_service_title,other_title,annual_salary,hour_rate,part_time
(Download this sheet under File>>Download),,,,,,,
Shelter Rock Public Library,Special District,nassau,,,,,
,,,,,,,
,,,Librarian II,,72800.0,40.0,
,,,Page ,,17972.5,19.75,x
,,,Typist Clerk,,16835.0,18.5,x
,,,Cleaner,,21385.0,23.5,x
,,,Page ,,15925.0,17.5,x
,,,Librarian I Sub,,28100.8,30.88,x
,,,Typist Clerk,,54436.2,29.91,
,,,Librarian I Sub,,28164.5,30.95,x
,,,Administrative Assistant,,82009.2,45.06,
,,,Cleaner,,70379.4,38.67,
,,,Page ,,15015.0,16.5,x
,,,Page ,,18655.0,20.5,x
,,,Librarian I,,61880.0,34.0,
,,,Librarian I,,56656.6,31.13,
,,,Cleaner,,35945.0,19.75,x
,,,Page ,,18655.0,20.5,x
,,,Typist Clerk,,16835.0,18.5,x
,,,Librarian II,,129602.2,71.21,
,,,Librarian I,,56656.6,31.13,
,,,Librarian I Sub,,56456.4,31.02,
,,,Senior Clerk,,55619.2,30.56,
,,,Cleaner,,19110.0,21.0,x
,,,Librarian I Sub,,57603.0,31.65,
,,,Custodian,,60970.0,33.5,
,,,Typist Clerk,,16835.0,18.5,x
,,,Cleaner,,17972.5,19.75,x
,,,Director,,183274.0,100.7,
,,,Secretary,,61552.4,33.82,
,,,Information Technology Aide,,18882.5,20.75,x
,,,Page ,,18655.0,20.5,x
,,,Librarian II,,81244.8,44.64,
,,,Typist Clerk,,38220.0,21.0, 
,,,Assistant Director,,102138.4,56.12,
,,,Page ,,45063.2,24.76,
,,,Page ,,15925.0,17.5,x
,,,Page ,,15925.0,17.5,x
,,,Information Technology Aide,,40040.0,22.0,
,,,Information Technology Aide,,21157.5,23.25,x
,,,Information Technology Specialist,,68832.4,37.82,
,,,Page ,,15925.0,17.5,x
