library,library_type,county,civil_service_title,other_title,annual_salary,hour_rate,part_time
Unkown,Public Library,Nassau,,Library Director,117778,,False
Unkown,Public Library,Nassau,,Librarian II,105087,,False
Unkown,Public Library,Nassau,,Librarian I,91109,,False
Unkown,Public Library,Nassau,,Senior Library Clerk,61825,,False
Unkown,Public Library,Nassau,,Account Clerk,70325,,False
Unkown,Public Library,Nassau,,Library Aide,74019,,False
Unkown,Public Library,Nassau,,Clerical Aide P/H,58440,,False
Unkown,Public Library,Nassau,,Typist-Clerk P/T,27024,30.570135746606336,True
Unkown,Public Library,Nassau,,Library Page P/T,15744,17.809954751131222,True
Unkown,Public Library,Nassau,,Director,99075,,False
Unkown,Public Library,Suffolk,,Librarian I,93525,,False
Unkown,Public Library,Suffolk,,Librarian II,85424,,False
Unkown,Public Library,Suffolk,,Librarian I,86089,,False
Unkown,Public Library,Suffolk,,Librarian II,83097,,False
Unkown,Public Library,Suffolk,,Librarian III,113229,,False
Unkown,Public Library,Suffolk,,Librarian II,103641,,False
Unkown,Public Library,Suffolk,,Librarian II,78632,,False
Unkown,Public Library,Suffolk,,Librarian I,72944,,False
Unkown,Public Library,Suffolk,,Librarian II,92803,,False
Unkown,Public Library,Suffolk,,Librarian II,115746,,False
Unkown,Public Library,Suffolk,,Librarian I,83745,,False
Unkown,Public Library,Suffolk,,Librarian I,70958,,False
Unkown,Public Library,Suffolk,,Librarian III,104227,,False
Unkown,Public Library,Suffolk,,Librarian I,77086,,False
Unkown,Public Library,Suffolk,,Librarian II,87816,,False
Unkown,Public Library,Suffolk,,Librarian III,104227,,False
Unkown,Public Library,Suffolk,,Librarian I,72944,,False
Unkown,Public Library,Suffolk,,Librarian I,72944,,False
Unkown,Public Library,Suffolk,,Librarian II,90275,,False
Unkown,Public Library,Suffolk,,Library Clerk,47891,,False
Unkown,Public Library,Suffolk,,Senior Library Clerk,90317,,False
Unkown,Public Library,Suffolk,,Senior Library Clerk,52137,,False
Unkown,Public Library,Suffolk,,Library Clerk,53484,,False
Unkown,Public Library,Suffolk,,Library Clerk,47891,,False
Unkown,Public Library,Suffolk,,Library Clerk,45318,,False
Unkown,Public Library,Suffolk,,Principal Library Clerk,75114,,False
Unkown,Public Library,Suffolk,,Senior Account Clerk,73913,,False
Unkown,Public Library,Suffolk,,Network & System Administrator II,129994,,False
Unkown,Public Library,Suffolk,,Library Clerk,64890,,False
Unkown,Public Library,Suffolk,,Network & System Technician,69776,,False
Unkown,Public Library,Suffolk,,Senior Library Clerk,47992,,False
Unkown,Public Library,Suffolk,,Library Clerk,41714,,False
Unkown,Public Library,Suffolk,,Library Clerk,41714,,False
Unkown,Public Library,Suffolk,,Business Manager,93000,,False
Unkown,Public Library,Suffolk,,Senior Library Clerk,76745,,False
Unkown,Public Library,Suffolk,,Library Clerk,41714,,False
Unkown,Public Library,Suffolk,,Custodial Worker I,43667,,False
Unkown,Public Library,Suffolk,,Custodial Worker II,83560,,False
Unkown,Public Library,Suffolk,,Custodial Supervisor,121489,,False
Unkown,Public Library,Suffolk,,Custodial Worker I,44890,,False
Unkown,Public Library,Nassau,,Library Director,95000,,False
Unkown,Public Library,Nassau,,Director - Public Library - Village,81000,,False
Unkown,Public Library,Suffolk,,Director,120000,,False
Unkown,Public Library,Suffolk,,Library Director,115763,,False
