Title (civil servce title for civil service libraries),Other Title (if different than civil service title),Annual Salary,Hourly Rate (Part-Time)
,,,
Library Clerk,,52453.0,
Library Clerk,,55680.0,
Library Clerk,,55680.0,
Library Clerk,,56799.0,
Senior Library Clerk,,54108.0,
Principal Library Clerk,,76549.0,
Principal Library Clerk,,87069.0,
Custodial Worker I,,53042.0,
Custodial Worker I,,63239.0,
Custodial Worker I,,65794.0,
Custodial Worker III,,77292.0,
Public Relations Assistant,,50854.0,
Librarian I,,60120.0,
Librarian I,,68188.0,
Librarian I,,71597.0,
Librarian I,,74461.0,
Librarian I,,86397.0,
Librarian II,,78229.0,
Librarian II,,79794.0,
Librarian II,,82973.0,
Librarian II,,84694.0,
Librarian II,,91767.0,
Librarian II,,99132.0,
Librarian III,,96355.0,
Librarian III,,103216.0,
Librarian III,,105280.0,
Network and Systems Specialist II,,95264.0,
Assistant Library Director,,131600.0,
Library Director,,160845.0,
