Title (civil servce title for civil service libraries),Other Title (if different than civil service title),Annual Salary,Hourly Rate (Part-Time),Part-Time
,,,,False
,,,,False
Assistant Library Director,,103728.0,,False
Cleaner,,37094.0,,False
Cleaner,,40829.0,,False
Cleaner,,,18.73,False
Clerk,,47728.0,,False
Clerk Typist,,47316.0,,False
Community Service Information Assistant,,,40.139,False
Custodian,,67750.0,,False
Custodian,,40319.0,,False
Head Custodian,,71400.0,,False
Librarian III,,94383.0,,False
Librarian III,,87485.0,,False
Librarian III,,83360.0,,False
Librarian II,,63094.0,,False
Librarian II,,93797.0,,False
Librarian II,,61274.0,,False
Librarian II,,63844.0,,False
Librarian II,,111818.0,,False
Librarian II,,,42.2703,False
Librarian I,,55274.0,,False
Librarian I,,55274.0,,False
Librarian I,,55000.0,,False
Librarian I,,55274.0,,False
Librarian I,,,40.5582,False
Librarian I P/T (Sub),,,30.537,False
Librarian I P/T ,,,27.0,False
Librarian I P/T,,,45.5441,False
Librarian I P/T (Sub),,,28.7,False
Librarian I P/T,,,27.0,False
Librarian I P/T (Non-Comp),,,27.0,False
Librarian I P/T,,,39.6839,False
Librarian I P/T,,,30.537,False
Librarian Trainee,,42274.0,,False
Library Aide,,61511.0,,False
Library Aide,,58680.0,,False
Library Aide,,41904.0,,False
Library Aide,,57104.0,,False
Library Aide,,58281.0,,False
Library Aide,,54091.0,,False
Library Aide,,,29.718,False
Library Director,,128000.0,,False
Monitor,,,23.4758,False
Monitor,,,22.6375,False
Page ,,29120.0,,False
Page ,,33124.0,,False
Page ,,,20.1945,False
Page P/T,,,18.2,False
Page P/T,,,16.85,False
Page P/T,,,16.85,False
Page P/T,,,16.0,False
Page P/T,,,16.0,False
Page P/T,,,16.35,False
Page,,,30.0873,False
Page P/T,,,16.0,False
Page P/T,,,16.0,False
Page P/T,,,16.85,False
Page P/T,,,16.85,False
Page P/T,,,16.85,False
Page P/T,,,16.85,False
Page P/T,,,16.35,False
Page ,,,20.2,False
Page P/T,,,16.35,False
Principal Library Clerk,,75842.0,,False
Security Aide,,38094.0,,False
Security Aide,,54880.0,,False
Security Aide P/T,,,21.3,False
Senior Account Clerk,,121197.0,,False
Senior Library Clerk,,51162.0,,False
Senior Library Clerk,,74588.0,,False
Senior Library Clerk,,58624.0,,False
Senior Library Clerk,,61678.0,,False
Senior Library Clerk,,61520.0,,False
Senior Library Clerk,,,38.4434,False
Senior Typist Clerk,,,30.3151,False
Typist Clerk,,38000.0,,False
Typist Clerk,,38000.0,,False
Typist-Clerk P/T (Non-Comp),,,19.2,False
Typist-Clerk P/T (Non-Comp),,,18.0,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
