Title (civil servce title for civil service libraries),Other Title (if different than civil service title),Annual Salary,Hourly Rate (Part-Time),Part-Time
Library Director,,143230.0,,False
Assistant Library Director,,111730.0,,False
Librarian III,,144070.0,,False
Librarian III,,144070.0,,False
Librarian III,,144070.0,,False
Librarian II,,76760.0,,False
Librarian II,,124430.0,,False
Librarian II,,130650.0,,False
Librarian II,,77950.0,,False
Librarian II,,76760.0,,False
"Librarian I, BiLingual",,76760.0,,False
Librarian I,,69910.0,,False
Librarian I,,69910.0,,False
Librarian I,,119020.0,,False
Librarian I,,119020.0,,False
Librarian I,,55930.0,,False
Librarian I,,69910.0,,False
Librarian I,,119020.0,,False
Librarian I,,69910.0,,False
Librarian I,,71500.0,,False
Librarian I,,69910.0,,False
Librarian I,,69910.0,,False
Librarian I,,119020.0,,False
Librarian Trainee,,55990.0,,False
Community Service Information  Assistant,,95216.0,,False
Principal Library Clerk,,104730.0,,False
Junior Accountant,,70000.0,,False
Principal Typist Clerk,,64000.0,,False
Cultural Program Specialist,,55990.0,,False
Information Technology Specialist,,54660.0,,False
Senior Library Clerk,,50760.0,,False
Typist Clerk,,69780.0,,False
Typist Clerk,,66450.0,,False
Typist Clerk,,41620.0,,False
Library Aide,,42180.0,,False
Audio Visual Technician,,42180.0,,False
Page,,42180.0,,False
Custodian,,54080.0,,False
Custodian,,84000.0,,False
Cleaner,,46310.0,,False
Cleaner,,46310.0,,False
"Librarian I, P-T",,,31.54,False
"Librarian I, P-T",,,27.28,False
"Librarian I, P-T",,,34.57,False
"Librarian I, P-T",,,38.41,False
"Librarian I, P-T",,,34.57,False
"Librarian I, P-T",,,31.25,False
"Librarian I, P-T",,,34.57,False
"Librarian I, P-T",,,45.96,False
"LibrarianTrainee, P-T",,,27.69,False
"Library Aide, P-T",,,20.86,False
"Typist-Clerk, P-T",,,20.86,False
"Typist-Clerk, P-T",,,20.86,False
"Typist-Clerk, P-T",,,20.39,False
"Typist-Clerk, P-T",,,20.86,False
"Clerk, P-T",,,29.8,False
"Clerk, P-T",,,29.8,False
"Cleaner, P-T",,,18.97,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,17.35,False
"Page, P-T",,,21.25,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,21.25,False
"Page, P-T",,,17.35,False
"Page, P-T",,,16.0,False
"Page, P-T",,,20.37,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,21.25,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,17.96,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
"Page, P-T",,,16.0,False
