library,library_type,county,civil_service_title,other_title,annual_salary,hour_rate,part_time
(Download this sheet under File>>Download),,,,,,,
,,,,,,,
,,,,,,,
Riverhead,Association,Suffolk,,Director,137491.38,,
,,,,Assistant Director,95429,,
,,,,Business Manager,75000,,
,,,,Adult & Info Serv Coordin,71500,,
,,,,Youth Family Serv Coordin,73500,,
,,,,Computer & Tech Coordin,75000,,
,,,,Purchasing Coordinator, ,27,yes
,,,,Patron Serv Coordinator,45000,,
,,,,Building & Mainten Mngr,65000,,
,,,,Librarian trainee,47778.06, ,
,,,,Librarian trainee part time,,26.08,yes
,,,,Librarian ,53482.57,,
,,,,Librarian part time,,30.28,yes
,,,,Librarian II,59167.24,,
,,,,Senior clerk,,18.31,
,,,,Clerk,,16.29,
,,,,Page,,16,
,,,,Bookkeeper part time,,25.34,yes
,,,,Custodian,,25,
,,,,Security guard part time,,22.25,yes
