Title (civil servce title for civil service libraries),Other Title (if different than civil service title),Annual Salary,Hourly Rate (Part-Time),Part-Time
,,,,False
NLA - SENIOR LIBRARY CLERK,,62974.0,,False
NMH - LIBRARIAN I part time substitute,,,30.0,False
AFL - TYPIST-CLERK (PART-TIME),,,19.93,False
EAF - Personnel Clerk,,,59.0,False
1KJ - CLEANER (PART-TIME),,,18.78,False
1KK - CLEANER,,59098.0,,False
NME - LIBRARIAN I (PART-TIME),,,37.1,False
NMF - LIBRARIAN I,,69726.0,,False
 NMF - LIBRARIAN I,,69726.0,,False
NNA - LIBRARIAN II,,77168.0,,False
ACD - CLERK,,64111.0,,False
AGB - TYPIST-CLERK(PART TIME SUBSTITUTE),,,19.0,False
NMF - LIBRARIAN I,,71291.0,,False
AFL - TYPIST-CLERK (PART-TIME),,,18.0,False
NQK - LIBRARY DIRECTOR,,126880.0,,False
1MA - CUSTODIAN,,62097.0,,False
NME - LIBRARIAN I (PART-TIME),,,37.1,False
NMH - LIBRARIAN I part time substitute,,,35.0,False
NMR - Part Time Librarian II,,,49.66,False
AFT - Part Time Typist Clerk,,,19.92,False
AGA - TYPIST-CLERK,,55076.0,,False
NNA - LIBRARIAN II,,,74610.0,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
