Title (civil servce title for civil service libraries),Other Title (if different than civil service title),Annual Salary,Hourly Rate (Part-Time),Part-Time
Library Director,,146970.0,,False
Librarian III,,91035.0,,False
Librarian II,,75949.0,,False
Librarian I,,64168.0,32.67,False
Business Manager I,,88434.0,,False
Library Assistant,,50219.0,,False
Network and Systems Tech,,64168.0,,False
Principal Library Clerk,,50525.0,,False
Senior Library Clerk,,44114.0,,False
Library Clerk,,39627.0,17.93,False
Senior Account Clerk,,55000.0,,False
Maintenance Mechanic II,,,34.62,False
Maintenance Mechanic I,,,23.11,False
Custodian,,,19.13,False
Page,,,16.0,False
Security Guard,,,20.78,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
,,,,False
