TITLE,ENTRY,ONE,TWO,THREE,FOUR,FIVE,SIX,SEVEN,EIGHT,NINE,TEN,ELEVEN,TWELVE,# of Employees,Mean
LIB/CLK TYP,34938,35637,36349,37076,37818,38574,39346,40133,40935,41754,42589,43441,44310,31.0,39624
BI-WKLY,1343.76,1370.64,1398.05,1426.01,1454.53,1483.62,1513.29,1543.56,1574.43,1605.92,1638.04,1670.8,1704.21,,1523.985
HOURLY,19.1966,19.5805,19.9721,20.3716,20.779,21.1946,21.6185,22.0508,22.4919,22.9417,23.4005,23.8685,24.3459,,21.77125
SR LIB CLK,40868,41686,42519,43370,44237,45122,46024,46945,47884,48841,49818,50815,51831,5.0,46349.5
BI-WKLY,1571.86,1603.3,1635.36,1668.07,1701.43,1735.46,1770.17,1805.57,1841.68,1878.52,1916.09,1954.41,1993.5,,1782.68
HOURLY,22.4551,22.9042,23.3623,23.8295,24.3061,24.7923,25.2881,25.7939,26.3097,26.8359,27.3727,27.9201,28.4785,,25.4668
ACCOUNT CLK,42154,42997,43857,44735,45629,46542,47473,48422,49391,50378,51386,52414,53462,1.0,47808
BI-WKLY,1621.32,1653.75,1686.82,1720.56,1754.97,1790.07,1825.87,1862.39,1899.64,1937.63,1976.38,2015.91,2056.23,,1838.775
HOURLY,23.1617,23.625,24.0975,24.5794,25.071,25.5724,26.0839,26.6055,27.1377,27.6804,28.234,28.7987,29.3747,,26.2682
PRIN/CLK/LIB,49358,50346,51353,52380,53427,54496,55586,56697,57831,58988,60168,61371,62598,2.0,55978
BI-WKLY,1898.4,1936.37,1975.1,2014.6,2054.89,2095.99,2137.91,2180.67,2224.28,2268.77,2314.14,2360.43,2407.63,,2153.015
HOURLY,27.12,27.6624,28.2157,28.78,29.3556,29.9427,30.5416,31.1524,31.7755,32.411,33.0592,33.7204,34.3948,,30.7574
SR ACCT CLK,49358,50346,51353,52380,53427,54496,55586,56697,57831,58988,60168,61371,62598,1.0,55978
