library,library_type,county,civil_service_title,other_title,annual_salary,hour_rate,part_time
Westhampton,association,suffolk,,,,,
,,,,,24-25,,
,,,,Pages,15.86,,
,,,,Clerks,18.49,,
,,,,Page Trainer,16.77,,
,,,,Digital Technician PT,19.72,,
,,,,Libs PT,29.56,,
,,,,Lib Asst,22.14,,
,,,,Libr Trainee/ Prog w/o MLS P/FT,22.47,,
,,,,FT Libs/Programmers,53084.75,,
,,,,FT Clerk,32525.62,,
,,,,FT Clerical Asst,37260.45,,
,,,,FT Lib Asst,41487.76,,
,,,,FT Lib. Trainee,42101.87,,
,,,,Bilingual Clerk PT,18.64,,
,,,,Bilingual Librarian PT,30.62,,
,,,,Bilingual Librarian Asst PT,22.66,,
,,,,Bilingual Clerk FT,32809.65,,
,,,,Bilingual Librarian FT,54964.17,,
,,,,Bilingual Librarian Asst FT,42434.53,,
,,,,Bilingual Lib. Trainee,23.26,,
,,,,Bilingual Lib. Trainee FT,43535.98,,
,,,,"If hired after July 1, 2023",,,
,,,,,24-25,,
,,,,Pages,15.78,,
,,,,Clerks,18.4,,
,,,,Page Trainer,16.69,,
,,,,Digital Technician PT,19.62,,
,,,,Libs PT,29.42,,
,,,,Lib Asst,22.03,,
,,,,Libr Trainee/ Prog w/o MLS P/FT,22.36,,
,,,,FT Libs/Programmers,52825.8,,
,,,,FT Clerk,32366.18,,
,,,,FT Clerical Asst,37077.8,,
,,,,FT Lib Asst,41486.75,,
,,,,FT Lib. Trainee,41896.5,,
,,,,Bilingual Clerk PT,18.55,,
,,,,Bilingual Librarian PT,30.47,,
,,,,Bilingual Libarian Asst PT,22.77,,
,,,,Bilingual Clerk FT,32648.82,,
,,,,Bilingual Librarian FT,54728.61,,
,,,,Bilingual Librarian Asst FT,42226.51,,
,,,,Bilingual Lib. Trainee,23.15,,
,,,,Bilingual Lib. Trainee FT,43323.61,,
,,,,"If hired after July 1, 2024",,,
,,,,,24-25,,
,,,,Pages,15.7,,
,,,,Clerks,18.31,,
,,,,Page Trainer,16.61,,
,,,,Digital Technician PT,19.52,,
,,,,Libs PT,29.28,,
,,,,Lib Asst,21.92,,
,,,,Libr Trainee/ Prog w/o MLS P/FT,22.25,,
,,,,FT Libs/Programmers,52568.11,,
,,,,FT Clerk,32207.52,,
,,,,FT Clerical Asst,36896.05,,
,,,,FT Lib Asst,41082.01,,
,,,,FT Lib. Trainee,41692.12,,
,,,,Bilingual Clerk PT,30.02,,
,,,,Bilingual Librarian PT,22.66,,
,,,,Bilingual Libarian Asst PT,32648.82,,
,,,,Bilingual Librarian FT,53929.02,,
,,,,Bilingual Librarian Asst FT,42226.51,,
,,,,Bilingual Lib. Trainee,23.03,,
,,,,Bilingual Lib. Trainee FT,43112.27,,
,,,,Assistant Director,99135,,
,,,,Director,152500,,
