Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Babylon,2,Custodian I,N,34775.0,
2024,Babylon,3,Custodian II,N,38148.0,
2024,Babylon,5,Director,N,110000.0,
2024,Babylon,7,Librarian I,Y,,29.0
2024,Babylon,8,Librarian I,Y,,29.0
2024,Babylon,9,Librarian I,N,57694.0,
2024,Babylon,10,Librarian I,Y,,31.7
2024,Babylon,11,Librarian I,Y,,29.0
2024,Babylon,12,Librarian I,N,57694.0,
2024,Babylon,13,Librarian I,N,57694.0,
2024,Babylon,14,Librarian I,N,58810.0,
2024,Babylon,15,Librarian I,Y,,29.0
2024,Babylon,16,Librarian I,N,57694.0,
2024,Babylon,18,Librarian II / Dept Head,N,66254.0,
2024,Babylon,19,Librarian II / Dept Head,N,64017.0,
2024,Babylon,21,Librarian III / Dept Head,N,83930.0,
2024,Babylon,23,Library Clerk,N,37978.0,
2024,Babylon,24,Library Clerk,N,32403.0,
2024,Babylon,25,Library Clerk,Y,,16.0
2024,Babylon,26,Library Clerk,Y,,16.3
2024,Babylon,27,Library Clerk,N,42216.0,
2024,Babylon,28,Library Clerk,Y,,16.0
2024,Babylon,29,Library Clerk,N,32403.0,
2024,Babylon,30,Library Clerk,Y,,16.0
2024,Babylon,32,Page,Y,,16.0
2024,Babylon,34,Page,Y,,16.0
2024,Babylon,35,Page,Y,,16.0
2024,Babylon,36,Page,Y,,16.0
2024,Babylon,37,Page,Y,,16.0
2024,Babylon,38,Page,Y,,16.0
2024,Babylon,40,Sr. Account Clerk,Y,,28.0
2024,Babylon,42,Sr. Library Clerk,N,43108.0,
2024,Babylon,43,Business Manager,Y,,50.0
2024,Babylon,44,Business Manager,Y,,16.0
2024,Babylon,45,Administrative Assist,N,60000.0,
