Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Bayshore-Brightwater,1,Library Director,N,178660,
2024,Bayshore-Brightwater,2,Assistant Library Director,N,104500,
2024,Bayshore-Brightwater,3,Librarian l,N,59500,
2024,Bayshore-Brightwater,4,Librarian l,N,59500,
2024,Bayshore-Brightwater,5,Librarian l,Y,,26.5
2024,Bayshore-Brightwater,6,Librarian l,Y,,26.5
2024,Bayshore-Brightwater,7,Librarian l,Y,,26.5
2024,Bayshore-Brightwater,8,Librarian l,Y,,26.5
2024,Bayshore-Brightwater,9,Librarian l,Y,,26.75
2024,Bayshore-Brightwater,10,Librarian l,Y,,27
2024,Bayshore-Brightwater,11,Librarian l,Y,,27
2024,Bayshore-Brightwater,12,Librarian l,Y,,27
2024,Bayshore-Brightwater,13,Librarian l,Y,,27.5
2024,Bayshore-Brightwater,14,Librarian l,Y,,30
2024,Bayshore-Brightwater,15,Librarian l,Y,,30
2024,Bayshore-Brightwater,16,Librarian l,Y,,31.55
2024,Bayshore-Brightwater,17,Librarian l,Y,,32.1
2024,Bayshore-Brightwater,18,Librarian l,Y,,32.25
2024,Bayshore-Brightwater,19,Librarian l,Y,,32.69
2024,Bayshore-Brightwater,20,Librarian l,Y,,33.65
2024,Bayshore-Brightwater,21,Librarian ll,N,82433,
2024,Bayshore-Brightwater,22,Librarian ll,N,89573,
2024,Bayshore-Brightwater,23,Librarian lll,N,101378,
2024,Bayshore-Brightwater,24,Computer Technician,N,84902,
2024,Bayshore-Brightwater,25,Business Manager,N,70034,
2024,Bayshore-Brightwater,26,Senior Office Assistant,N,45000,
2024,Bayshore-Brightwater,27,Senior Office Assistant,Y,,29
2024,Bayshore-Brightwater,28,Senior Office Assistant,Y,,33.5
2024,Bayshore-Brightwater,29,Senior Library Clerk,N,71269,
2024,Bayshore-Brightwater,30,Library Clerk,N,45931,
2024,Bayshore-Brightwater,31,Library Clerk,N,46748,
2024,Bayshore-Brightwater,32,Library Clerk,Y,,20
2024,Bayshore-Brightwater,33,Library Clerk,Y,,22.1
2024,Bayshore-Brightwater,34,Office Assistant,N,68765,
2024,Bayshore-Brightwater,35,Custodian l,N,63005,
2024,Bayshore-Brightwater,36,Custodian l,Y,,17
2024,Bayshore-Brightwater,37,Custodian l,Y,,20.35
2024,Bayshore-Brightwater,38,Custodian l,Y,,20.7
2024,Bayshore-Brightwater,39,Custodian ll,N,69743,
2024,Bayshore-Brightwater,40,Page,Y,,16
2024,Bayshore-Brightwater,41,Page,Y,,16
2024,Bayshore-Brightwater,42,Page,Y,,16
2024,Bayshore-Brightwater,43,Page,Y,,16
2024,Bayshore-Brightwater,44,Page,Y,,16
2024,Bayshore-Brightwater,45,Page,Y,,16
2024,Bayshore-Brightwater,46,Page,Y,,16
2024,Bayshore-Brightwater,47,Page,Y,,16
2024,Bayshore-Brightwater,48,Page,Y,,16
2024,Bayshore-Brightwater,49,Page,Y,,16
2024,Bayshore-Brightwater,50,Page,Y,,16
2024,Bayshore-Brightwater,51,Page,Y,,17.75
2024,Bayshore-Brightwater,52,Page,Y,,19.8
2024,Bayshore-Brightwater,53,Page,Y,,28
2024,Bayshore-Brightwater,54,Security,Y,,20
2024,Bayshore-Brightwater,55,Security,Y,,23
