Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Bellmore,1,NQK-Library Director ,N,142162.02,72.9
2024,Bellmore,2,NNF-Librarian III Department Head ,N,104403.0,53.54
2024,Bellmore,3,NNA-Librarian II ,N,103408.5,53.03
2024,Bellmore,4,NNA-Librarian II ,N,65578.5,33.63
2024,Bellmore,5,NNA-Librarian II ,N,62595.0,32.1
2024,Bellmore,7,NMF-Librarian I ,N,64428.0,33.04
2024,Bellmore,8,NMF-Librarian I ,N,59241.0,30.38
2024,Bellmore,9,NMF-Librarian I ,N,57037.5,29.25
2024,Bellmore,11,NME-Librarian I Part time (Non Comp.) ,Y,,27.0
2024,Bellmore,12,NME-Librarian I Part time (Non Comp.) ,Y,,26.0
2024,Bellmore,13,NME-Librarian I Part time (Non Comp.) ,Y,,25.5
2024,Bellmore,14,NMH-Librarian I Part time Sub.,Y,,28.73
2024,Bellmore,15,NMH-Librarian I Part time Sub.,Y,,25.5
2024,Bellmore,17,NMA Librarian Trainee,N,46312.5,23.75
2024,Bellmore,19,NLK Principal Library Clerk,N,81042.0,41.56
2024,Bellmore,20,CBA Principal Account Clerk,N,81841.5,41.97
2024,Bellmore,21,ACM Principal Clerk,N,79345.5,40.69
2024,Bellmore,23,ACK Senior Clerk,N,72423.0,37.14
2024,Bellmore,25,ACD Clerk,N,47053.5,24.13
2024,Bellmore,26,ACD Clerk,N,45513.0,23.34
2024,Bellmore,27,ACD Clerk,N,40462.5,20.75
2024,Bellmore,28,AGA Typist Clerk,N,47053.5,24.13
2024,Bellmore,30,AFL Typist Clerk Part time,Y,,21.12
2024,Bellmore,31,ACA Clerk Part time (Non Comp.),Y,,21.96
2024,Bellmore,32,ACA Clerk Part time (Non Comp.),Y,,20.0
2024,Bellmore,33,ACA Clerk Part time (Non Comp.),Y,,18.0
2024,Bellmore,34,AFT Typist Clerk Part time (Non Comp.),Y,,20.0
2024,Bellmore,37,EHP Community Services Information Asst.,N,48262.5,24.75
2024,Bellmore,38,6JF Maintainer,N,73690.5,37.79
2024,Bellmore,39,WQF Library Monitor,N,66963.0,34.34
2024,Bellmore,40,1KK Cleaner,N,73437.0,37.66
2024,Bellmore,41,1KK Cleaner,N,33150.0,17.0
2024,Bellmore,43,HET Page Part time (6 employees),Y,,15.37
