Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Bridgehampton,1,Circulation clerk/ILL,N,43917.0,
2024,Bridgehampton,2,Circulation / Children's Room clerk,N,34689.0,
2024,Bridgehampton,3,Circulation clerk,Y,20760.0,22.18
2024,Bridgehampton,4,Circulation clerk,Y,14119.0,16.97
2024,Bridgehampton,5,Circulation clerk,Y,13312.0,16.0
2024,Bridgehampton,6,Circulation clerk,Y,18720.0,20.0
2024,Bridgehampton,7,Circulation clerk,Y,26473.0,16.97
2024,Bridgehampton,8,Head of Circulation,Y,42603.0,29.26
2024,Bridgehampton,9,Reference Librarian,Y,12744.0,35.01
2024,Bridgehampton,10,Reference Librarian,N,61862.0,
2024,Bridgehampton,11,Reference Librarian,Y,44616.0,33.0
2024,Bridgehampton,12,Business Manager,N,84630.0,
2024,Bridgehampton,13,Children's Librarian,N,60060.0,
2024,Bridgehampton,14,Children's Librarian,N,63718.0,
2024,Bridgehampton,15,Young Adult Librarian,N,61862.0,
2024,Bridgehampton,16,Head of Youth Services,N,75421.0,
2024,Bridgehampton,17,Head of Technical Services,N,50960.0,
2024,Bridgehampton,18,Custodian,Y,10816.0,20.8
2024,Bridgehampton,19,Page,Y,6843.0,16.45
2024,Bridgehampton,20,Executive Director,N,135000.0,
