Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Connetquot,2,Library Clerk,N,52453.0,
2024,Connetquot,3,Library Clerk,N,55680.0,
2024,Connetquot,4,Library Clerk,N,55680.0,
2024,Connetquot,5,Library Clerk,N,56799.0,
2024,Connetquot,6,Senior Library Clerk,N,54108.0,
2024,Connetquot,7,Principal Library Clerk,N,76549.0,
2024,Connetquot,8,Principal Library Clerk,N,87069.0,
2024,Connetquot,9,Custodial Worker I,N,53042.0,
2024,Connetquot,10,Custodial Worker I,N,63239.0,
2024,Connetquot,11,Custodial Worker I,N,65794.0,
2024,Connetquot,12,Custodial Worker III,N,77292.0,
2024,Connetquot,13,Public Relations Assistant,N,50854.0,
2024,Connetquot,14,Librarian I,N,60120.0,
2024,Connetquot,15,Librarian I,N,68188.0,
2024,Connetquot,16,Librarian I,N,71597.0,
2024,Connetquot,17,Librarian I,N,74461.0,
2024,Connetquot,18,Librarian I,N,86397.0,
2024,Connetquot,19,Librarian II,N,78229.0,
2024,Connetquot,20,Librarian II,N,79794.0,
2024,Connetquot,21,Librarian II,N,82973.0,
2024,Connetquot,22,Librarian II,N,84694.0,
2024,Connetquot,23,Librarian II,N,91767.0,
2024,Connetquot,24,Librarian II,N,99132.0,
2024,Connetquot,25,Librarian III,N,96355.0,
2024,Connetquot,26,Librarian III,N,103216.0,
2024,Connetquot,27,Librarian III,N,105280.0,
2024,Connetquot,28,Network and Systems Specialist II,N,95264.0,
2024,Connetquot,29,Assistant Library Director,N,131600.0,
2024,Connetquot,30,Library Director,N,160845.0,
