Year,Employee Number,Part time,Salary,Hourly
2024,1,Yes,115000.0,
2024,2,Yes,62000.0,
2024,3,Yes,85000.0,
2024,4,Yes,65000.0,
2024,5,Yes,60000.0,
2024,6,Yes,50000.0,
2024,7,Yes,48726.0,
2024,8,Yes,36400.0,
2024,9,Yes,40000.0,
2024,10,Yes,40000.0,
2024,11,Yes,40000.0,
2024,12,Yes,43000.0,
2024,13,Yes,30000.0,
2024,14,Yes,35000.0,
2024,15,Yes,45000.0,
2024,16,No,,
2024,17,Yes,,50.0
2024,18,Yes,,26.0
2024,19,Yes,,26.0
2024,20,Yes,,26.0
2024,21,Yes,,19.0
2024,22,Yes,,20.0
2024,23,Yes,,19.0
2024,24,Yes,,19.0
2024,25,Yes,,19.0
2024,26,Yes,,15.0
2024,27,Yes,,20.0
2024,28,Yes,,20.0
