Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Deer Park,1,Librarian 1,Y,61662.0,33.88
2024,Deer Park,2,Librarian 2,N,71743.8,
2024,Deer Park,3,Librarian 2,N,79952.6,
2024,Deer Park,4,Librarian 2,Y,,54.8
2024,Deer Park,5,Librarian 3,N,94458.8,
2024,Deer Park,6,Senior Clerk,N,55400.0,
2024,Deer Park,7,Account Clerk,N,41441.4,
2024,Deer Park,8,Account Clerk,Y,,22.6
2024,Deer Park,9,Custodian 2,N,73873.8,
2024,Deer Park,10,Custodian ,Y,,19.23
2024,Deer Park,11,Guard,Y,,28.22
2024,Deer Park,12,Guard,Y,,21.51
2024,Deer Park,13,Page,Y,,15.0
2024,Deer Park,14,Director,N,134050.0,
2024,Deer Park,15,Business Manager,N,83704.8,
