Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Freeport,3,Assistant Library Director,N,103728.0,
2024,Freeport,4,Cleaner,N,37094.0,
2024,Freeport,5,Cleaner,N,40829.0,
2024,Freeport,6,Cleaner,Y,,18.73
2024,Freeport,7,Clerk,N,47728.0,
2024,Freeport,8,Clerk Typist,N,47316.0,
2024,Freeport,9,Community Service Information Assistant,Y,,40.139
2024,Freeport,10,Custodian,N,67750.0,
2024,Freeport,11,Custodian,N,40319.0,
2024,Freeport,12,Head Custodian,N,71400.0,
2024,Freeport,13,Librarian III,N,94383.0,
2024,Freeport,14,Librarian III,N,87485.0,
2024,Freeport,15,Librarian III,N,83360.0,
2024,Freeport,16,Librarian II,N,63094.0,
2024,Freeport,17,Librarian II,N,93797.0,
2024,Freeport,18,Librarian II,N,61274.0,
2024,Freeport,19,Librarian II,N,63844.0,
2024,Freeport,20,Librarian II,N,111818.0,
2024,Freeport,21,Librarian II,Y,,42.2703
2024,Freeport,22,Librarian I,N,55274.0,
2024,Freeport,23,Librarian I,N,55274.0,
2024,Freeport,24,Librarian I,N,55000.0,
2024,Freeport,25,Librarian I,N,55274.0,
2024,Freeport,26,Librarian I,Y,,40.5582
2024,Freeport,27,Librarian I P/T (Sub),Y,,30.537
2024,Freeport,28,Librarian I P/T ,Y,,27.0
2024,Freeport,29,Librarian I P/T,Y,,45.5441
2024,Freeport,30,Librarian I P/T (Sub),Y,,28.7
2024,Freeport,31,Librarian I P/T,Y,,27.0
2024,Freeport,32,Librarian I P/T (Non-Comp),Y,,27.0
2024,Freeport,33,Librarian I P/T,Y,,39.6839
2024,Freeport,34,Librarian I P/T,Y,,30.537
2024,Freeport,35,Librarian Trainee,N,42274.0,
2024,Freeport,36,Library Aide,N,61511.0,
2024,Freeport,37,Library Aide,N,58680.0,
2024,Freeport,38,Library Aide,N,41904.0,
2024,Freeport,39,Library Aide,N,57104.0,
2024,Freeport,40,Library Aide,N,58281.0,
2024,Freeport,41,Library Aide,N,54091.0,
2024,Freeport,42,Library Aide,Y,,29.718
2024,Freeport,43,Library Director,N,128000.0,
2024,Freeport,44,Monitor,Y,,23.4758
2024,Freeport,45,Monitor,Y,,22.6375
2024,Freeport,46,Page ,N,29120.0,
2024,Freeport,47,Page ,N,33124.0,
2024,Freeport,48,Page ,Y,,20.1945
2024,Freeport,49,Page P/T,Y,,18.2
2024,Freeport,50,Page P/T,Y,,16.85
2024,Freeport,51,Page P/T,Y,,16.85
2024,Freeport,52,Page P/T,Y,,16.0
2024,Freeport,53,Page P/T,Y,,16.0
2024,Freeport,54,Page P/T,Y,,16.35
2024,Freeport,55,Page,Y,,30.0873
2024,Freeport,56,Page P/T,Y,,16.0
2024,Freeport,57,Page P/T,Y,,16.0
2024,Freeport,58,Page P/T,Y,,16.85
2024,Freeport,59,Page P/T,Y,,16.85
2024,Freeport,60,Page P/T,Y,,16.85
2024,Freeport,61,Page P/T,Y,,16.85
2024,Freeport,62,Page P/T,Y,,16.35
2024,Freeport,63,Page ,Y,,20.2
2024,Freeport,64,Page P/T,Y,,16.35
2024,Freeport,65,Principal Library Clerk,N,75842.0,
2024,Freeport,66,Security Aide,N,38094.0,
2024,Freeport,67,Security Aide,N,54880.0,
2024,Freeport,68,Security Aide P/T,Y,,21.3
2024,Freeport,69,Senior Account Clerk,N,121197.0,
2024,Freeport,70,Senior Library Clerk,N,51162.0,
2024,Freeport,71,Senior Library Clerk,N,74588.0,
2024,Freeport,72,Senior Library Clerk,N,58624.0,
2024,Freeport,73,Senior Library Clerk,N,61678.0,
2024,Freeport,74,Senior Library Clerk,N,61520.0,
2024,Freeport,75,Senior Library Clerk,Y,,38.4434
2024,Freeport,76,Senior Typist Clerk,Y,,30.3151
2024,Freeport,77,Typist Clerk,N,38000.0,
2024,Freeport,78,Typist Clerk,N,38000.0,
2024,Freeport,79,Typist-Clerk P/T (Non-Comp),Y,,19.2
2024,Freeport,80,Typist-Clerk P/T (Non-Comp),Y,,18.0
