Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Longwood,1,HEAD CUSTODIAN,N,59017.0,
2024,Longwood,2,LIBRARIAN I,N,57769.0,
2024,Longwood,3,LIBRARIAN II,N,75031.0,
2024,Longwood,4,LIBRARIAN II,N,71178.0,
2024,Longwood,5,LIBRARIAN III,N,91827.0,
2024,Longwood,6,CUSTODIAL WORKER I,N,38855.0,
2024,Longwood,7,LIBRARIAN I-CHILDRENS SERVICES,N,60875.0,
2024,Longwood,8,LIBRARY CLERK,N,56803.0,
2024,Longwood,9,LIBRARIAN III,N,111205.0,
2024,Longwood,10,LIBRARY CLERK,N,49782.0,
2024,Longwood,11,BUSINESS MANAGER,N,81300.0,
2024,Longwood,12,CUSTODIAL WORKER II,N,41841.0,
2024,Longwood,13,ASSISTANT LIBRARY DIRECTOR,N,120612.0,
2024,Longwood,14,SENIOR LIBRARY CLERK,N,56768.0,
2024,Longwood,15,LIBRARY DIRECTOR,N,164194.56,
2024,Longwood,16,LIBRARIAN I-CHILDRENS SERVICES,N,57769.0,
2024,Longwood,17,LIBRARY CLERK,N,34928.0,
2024,Longwood,18,LIBRARIAN II,N,85633.0,
2024,Longwood,19,LIBRARIAN III ,N,103467.0,
2024,Longwood,20,LIBRARIAN III,N,111205.0,
2024,Longwood,21,NETWORK & SYSTEMS SPECIALIST I,N,92137.0,
2024,Longwood,22,LIBRARIAN II,N,79100.0,
2024,Longwood,23,SENIOR ACCOUNT CLERK TYPIST,N,42364.0,
2024,Longwood,24,LIBRARIAN II,N,64071.0,
2024,Longwood,25,LIBRARY CLERK,N,35833.0,
2024,Longwood,26,LIBRARIAN I,N,57769.0,
2024,Longwood,27,LOCAL HISTORY,N,59302.0,
2024,Longwood,28,LIBRARIAN II,N,100954.0,
2024,Longwood,29,LIBRARIAN I-CHILDRENS SERVICES,N,59302.0,
2024,Longwood,30,LIBRARIAN II,N,71178.0,
2024,Longwood,31,OFFICE ASSISTANT,N,53411.0,
2024,Longwood,32,SENIOR LIBRARY CLERK,N,60944.0,
2024,Longwood,33,LIBRARY CLERK,N,36760.0,
2024,Longwood,34,PRINCIPAL LIBRARY CLERK,N,76731.0,
2024,Longwood,35,LIBRARIAN III,N,89425.0,
2024,Longwood,36,LIBRARY CLERK,N,37716.0,
2024,Longwood,37,LIBRARIAN I,N,90907.0,
2024,Longwood,38,LIBRARIAN I,N,62494.0,
2024,Longwood,39,LIBRARIAN I-CHILDRENS SERVICES,Y,,26.0
2024,Longwood,40,LIBRARY CLERK,Y,,20.04
2024,Longwood,41,LIBRARY CLERK,Y,,18.25
2024,Longwood,42,PAGE,Y,,15.97
2024,Longwood,43,LIBRARY CLERK,Y,,24.77
2024,Longwood,44,CUSTODIAL WORKER I,Y,,19.31
2024,Longwood,45,LIBRARIAN I,Y,,42.51
2024,Longwood,46,LIBRARY CLERK,Y,,24.77
2024,Longwood,47,LIBRARY CLERK,Y,,27.63
2024,Longwood,48,GUARD,Y,,28.37
2024,Longwood,49,LIBRARIAN I,Y,,52.02
2024,Longwood,50,LIBRARIAN I-CHILDRENS SERVICES,Y,,26.0
2024,Longwood,51,LIBRARY CLERK,Y,,25.06
