Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Lynnbrook,2,CLEANER,N,56536.19,
2024,Lynnbrook,3,CLEANER (PART-TIME),Y,,18.0
2024,Lynnbrook,4,TYPIST-CLERK (PART-TIME),Y,,18.75
2024,Lynnbrook,5,TYPIST-CLERK (PART-TIME),Y,,18.5
2024,Lynnbrook,6,TYPIST-CLERK (PART-TIME),Y,,26.7859
2024,Lynnbrook,7,TYPIST-CLERK (PART-TIME),Y,,26.0057
2024,Lynnbrook,8,TYPIST-CLERK (PART-TIME),Y,,18.0
2024,Lynnbrook,9,TYPIST-CLERK (PART-TIME),Y,,18.0
2024,Lynnbrook,10,TYPIST-CLERK,N,48562.61,
2024,Lynnbrook,11,TYPIST-CLERK,N,47597.68,
2024,Lynnbrook,12,TYPIST-CLERK,N,69405.38,
2024,Lynnbrook,13,ACCOUNT CLERK,N,66567.39,
2024,Lynnbrook,14,PAGE (PART-TIME),Y,,21.0297
2024,Lynnbrook,15,PAGE (PART-TIME),Y,,17.262
2024,Lynnbrook,16,PAGE (PART-TIME),Y,,16.75
2024,Lynnbrook,17,PAGE (PART-TIME),Y,,16.0
2024,Lynnbrook,18,PAGE (PART-TIME),Y,,16.75
2024,Lynnbrook,19,PAGE (SEASONAL WORKER),Y,,16.75
2024,Lynnbrook,20,PAGE (SEASONAL WORKER),Y,,16.75
2024,Lynnbrook,21,LIBRARIAN I (PART-TIME),Y,,28.1484
2024,Lynnbrook,22,LIBRARIAN I (PART-TIME),Y,,25.3876
2024,Lynnbrook,23,LIBRARIAN I (PART-TIME),Y,,25.6444
2024,Lynnbrook,24,LIBRARIAN I,N,65948.43,
2024,Lynnbrook,25,LIBRARIAN I,N,56536.19,
2024,Lynnbrook,26,LIBRARIAN II,N,95466.83,
2024,Lynnbrook,27,ASSISTANT LIBRARY DIRECTOR,N,102262.31,
2024,Lynnbrook,28,LIBRARY DIRECTOR,N,166230.02,
