Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Middle Country,1,Library Clerk,N,39216.0,
2024,Middle Country,2,Senior Library Clerk,N,45398.0,
2024,Middle Country,3,Custodial Worker I,N,43235.0,
2024,Middle Country,4,Custodial Worker II,N,52553.0,
2024,Middle Country,5,Network and Systems Technician I ,N,57940.0,
2024,Middle Country,6,Principal Library Clerk,N,63879.0,
2024,Middle Country,7,Administrative Assistant,N,81528.0,
2024,Middle Country,8,Custodial Worker III,N,81528.0,
2024,Middle Country,9,Library Assistant,N,54281.0,
2024,Middle Country,10,Librarian Trainee,N,59844.0,
2024,Middle Country,11,Librarian I,N,65978.0,
2024,Middle Country,12,Librarian II,N,76380.0,
2024,Middle Country,13,Librarian III,N,88418.0,
2024,Middle Country,14,Librarian IV,N,92838.0,
2024,Middle Country,15,Network and Systems Specialist I,N,65978.0,
2024,Middle Country,16,Netwrok and Systems Specialist II,N,72743.0,
2024,Middle Country,17,Netwrok and Systems Administrator,N,88418.0,
2024,Middle Country,18,Business Manager I,N,97480.0,
2024,Middle Country,19,Assistant Library Director,N,102356.0,
