Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,North Babylon,1,PT Library Clerk,Y,,23.51
2024,North Babylon,2,Substitute PT Library Clerk,Y,,23.05
2024,North Babylon,3,PT Librarian I,Y,,35.3
2024,North Babylon,4,Librarian II,N,74982.0,
2024,North Babylon,5,Substitute PT Librarian I - Child ,Y,,34.61
2024,North Babylon,6,PT Librarian I,Y,,35.3
2024,North Babylon,7,PT Library Clerk,Y,,23.51
2024,North Babylon,8,Substitute PT Librarian I - Child ,Y,,34.61
2024,North Babylon,9,Senior Library Clerk,N,57339.0,
2024,North Babylon,10,Page,Y,,16.0
2024,North Babylon,11,Substitute Custodial Worker I,Y,,16.5
2024,North Babylon,12,Page (10/3),Y,,16.0
2024,North Babylon,13,Substitute PT Library Clerk,Y,,23.05
2024,North Babylon,14,Substitute PT Librarian I,Y,,34.61
2024,North Babylon,15,Library Clerk,N,42636.0,
2024,North Babylon,16,PT Librarian I Children's Svc,Y,,35.3
2024,North Babylon,17,PT Library Treasurer,N,2800.0,
2024,North Babylon,18,Librarian I Children's Services,N,66160.0,
2024,North Babylon,19,Substitute PT Librarian I,Y,,34.61
2024,North Babylon,20,PT Custodial Worker I,Y,,18.0
2024,North Babylon,21,Substitute PT Senior Library Ck,Y,,35.63
2024,North Babylon,22,Substitute PT Library Clerk,Y,,23.05
2024,North Babylon,23,Library Director,N,180850.0,
2024,North Babylon,24,Computer Technician/TSA,N,60281.0,
2024,North Babylon,25,Senior Library Clerk,N,57339.0,
2024,North Babylon,26,Senior Library Clerk Confidential,N,113074.0,
2024,North Babylon,27,Library Clerk,N,42636.0,
2024,North Babylon,28,Career Counselor,Y,,35.3
2024,North Babylon,29,PT Library Clerk,Y,,31.58
2024,North Babylon,30,PT Librarian I Children's Svc,Y,,35.3
2024,North Babylon,31,FT Custodial Worker I,N,57500.0,
2024,North Babylon,32,"Librarian III, confidential",N,118014.0,
2024,North Babylon,33,PT Library Clerk,Y,,23.51
2024,North Babylon,34,Librarian II,N,73511.0,
2024,North Babylon,35,Library Clerk,N,42636.0,
2024,North Babylon,36,Substitute PT Librarian I - Child,Y,,34.61
2024,North Babylon,37,Substitute PT Librarian I,Y,,34.61
2024,North Babylon,38,Librarian I,N,66160.0,
2024,North Babylon,39,PT Librarian I,Y,,35.3
2024,North Babylon,40,Page,Y,,16.0
2024,North Babylon,41,PT Library Clerk,Y,,23.51
2024,North Babylon,42,PT Library Clerk,Y,,23.51
2024,North Babylon,43,Librarian II,N,113253.0,
2024,North Babylon,44,Substitute PT Library Clerk,Y,,23.05
2024,North Babylon,45,Senior Account Clerk,N,65000.0,
2024,North Babylon,46,PT Library Clerk,Y,,23.51
