Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,North Bellmore,1,HET - Page,Y,,33.48
2024,North Bellmore,2,NME - Librarian I,Y,,38.5
2024,North Bellmore,3,ACD - Clerk,N,55222.24,
2024,North Bellmore,4,AGA - Typist Clerk,N,45000.0,
2024,North Bellmore,5,NLL - Principle Library Clerk,Y,,41.72
2024,North Bellmore,6,NNA - Librarian II,N,76968.0,
2024,North Bellmore,7,NNA - Librarian II,N,72800.0,
2024,North Bellmore,8,ACA - Clerk,Y,,31.42
2024,North Bellmore,9,ACA - Clerk,Y,,25.24
2024,North Bellmore,10,NMF - Librarian I,N,67600.0,
2024,North Bellmore,11,1KK - Cleaner,N,45000.0,
2024,North Bellmore,12,1OP - Head Custodian I,N,78000.0,
2024,North Bellmore,13,NNA - Librarian II,N,75400.0,
2024,North Bellmore,14,NMH - Librarian I,Y,,34.63
2024,North Bellmore,15,HET - Page,Y,,17.5
2024,North Bellmore,16,HET - Page,Y,,24.46
2024,North Bellmore,17,HET - Page,Y,,16.0
2024,North Bellmore,18,CAF - Account Clerk,Y,,52.0
2024,North Bellmore,19,NLA - Senior Library Clerk,N,57678.4,
2024,North Bellmore,20,NNA - Librarian II,N,94700.0,
2024,North Bellmore,21,NQF - Assistant Library Director,N,97850.0,
2024,North Bellmore,22,HET - Page,Y,,24.46
2024,North Bellmore,23,1KI - Cleaner Temporary,Y,,20.0
2024,North Bellmore,24,HET - Page,Y,,19.57
2024,North Bellmore,25,1KJ - Cleaner,Y,,33.48
2024,North Bellmore,26,NME - Librarian I,Y,,35.67
2024,North Bellmore,27,BWD - Info. Tech. Specialist I,Y,,43.26
2024,North Bellmore,28,NMH - Librarian I ,Y,,35.84
2024,North Bellmore,29,AGB - Typist Clerk Substitute,Y,,20.0
2024,North Bellmore,30,HET - Page,Y,,16.0
2024,North Bellmore,31,HET - Page,Y,,16.0
2024,North Bellmore,32,NMA - Librarian Trainee,N,50000.0,
2024,North Bellmore,33,HET - Page,Y,,35.65
2024,North Bellmore,34,AFT - Typist Clerk,Y,,20.0
2024,North Bellmore,35,NNA - Librarian II,N,79919.52,
2024,North Bellmore,36,HET - Page,Y,,33.48
2024,North Bellmore,37,NQK - Library Director,N,137582.64,
2024,North Bellmore,38,HET - Page,Y,,33.31
2024,North Bellmore,39,NME - Librarian I,Y,,49.94
2024,North Bellmore,40,NME - Librarian I,Y,,39.08
2024,North Bellmore,41,EDO - Public Info. Assistant,Y,,25.0
2024,North Bellmore,42,HET - Page,Y,,16.0
