Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Oyster Bay-East Norwich,1,Clerk Typist FT,N,31504.2,
2024,Oyster Bay-East Norwich,2,Clerk Typist PT,Y,,20.55
2024,Oyster Bay-East Norwich,3,Clerk Tyoist PT,Y,,17.31
2024,Oyster Bay-East Norwich,4,Clerk Typist PT,Y,,18.84
2024,Oyster Bay-East Norwich,5,Senior Library Clerk FT,N,42770.0,
2024,Oyster Bay-East Norwich,6,Senior Library Clerk FT,N,41186.6,
2024,Oyster Bay-East Norwich,7,Librarian II FT,N,79570.4,
2024,Oyster Bay-East Norwich,8,Librarian I FT,N,66229.8,
2024,Oyster Bay-East Norwich,9,Libraran I  FT,N,65283.4,
2024,Oyster Bay-East Norwich,10,Librarian I FT,N,60769.8,
2024,Oyster Bay-East Norwich,11,Librarian I FT,N,58403.8,
2024,Oyster Bay-East Norwich,12,Librarian I PT,Y,,33.52
2024,Oyster Bay-East Norwich,13,Librarian 1 PT,Y,,32.07
2024,Oyster Bay-East Norwich,14,Librarian Sub,Y,,33.97
2024,Oyster Bay-East Norwich,15,Librarian Sub,Y,,35.39
2024,Oyster Bay-East Norwich,16,Cleaner FT,N,51708.8,
2024,Oyster Bay-East Norwich,17,Cleaner PT,Y,,18.44
2024,Oyster Bay-East Norwich,18,Cleaner PT,Y,,17.07
2024,Oyster Bay-East Norwich,19,Personnel Clerk FT,N,56929.6,
