Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Peninusula Public Library,1,Director,N,138075.0,
2024,Peninusula Public Library,2,Assistant Director,N,100695.0,
2024,Peninusula Public Library,3,Librarian I,N,49959.0,
2024,Peninusula Public Library,4,Librarian II,N,69564.0,
2024,Peninusula Public Library,5,Librarian III,N,70724.0,
2024,Peninusula Public Library,6,Principle Typist Clerk,N,59121.14,
2024,Peninusula Public Library,7,Senior Typist Clerk,N,48919.93,
2024,Peninusula Public Library,8,Typist Clerk,N,44126.16,
2024,Peninusula Public Library,9,Librarian Trainee,N,35875.0,
2024,Peninusula Public Library,10,Library Aide,N,56100.0,
2024,Peninusula Public Library,11,Senior Account Clerk,N,66300.0,
2024,Peninusula Public Library,12,Custodian,N,69563.78,
2024,Peninusula Public Library,13,Cleaner,N,45313.71,
2024,Peninusula Public Library,14,Page,N,39166.67,
2024,Peninusula Public Library,15,Librarian I,Y,,24.4
2024,Peninusula Public Library,16,Clerk Typist,Y,,18.0
2024,Peninusula Public Library,17,Page,Y,,16.0
