Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Riverhead,1,Director,N,137491.38,
2024,Riverhead,2,Assistant Director,N,95429.0,
2024,Riverhead,3,Business Manager,N,75000.0,
2024,Riverhead,4,Adult & Info Serv Coordin,N,71500.0,
2024,Riverhead,5,Youth Family Serv Coordin,N,73500.0,
2024,Riverhead,6,Computer & Tech Coordin,N,75000.0,
2024,Riverhead,7,Purchasing Coordinator,Y,,27.0
2024,Riverhead,8,Patron Serv Coordinator,N,45000.0,
2024,Riverhead,9,Building & Mainten Mngr,N,65000.0,
2024,Riverhead,10,Librarian trainee,N,47778.06,
2024,Riverhead,11,Librarian trainee part time,Y,,26.08
2024,Riverhead,12,Librarian ,N,53482.57,
2024,Riverhead,13,Librarian part time,Y,,30.28
2024,Riverhead,14,Librarian II,N,59167.24,
2024,Riverhead,15,Senior clerk,Y,,18.31
2024,Riverhead,16,Clerk,Y,,16.29
2024,Riverhead,17,Page,Y,,16.0
2024,Riverhead,18,Bookkeeper part time,Y,,25.34
2024,Riverhead,19,Custodian,Y,,25.0
2024,Riverhead,20,Security guard part time,Y,,22.25
