Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Rockville Center,1,Director,N,156139.0,85.79065934
2024,Rockville Center,2,Assistant Director,N,120060.0,65.96703297
2024,Rockville Center,3,Principal Account Clerk,N,90789.0,49.88406593
2024,Rockville Center,4,Librarian II,N,90031.0,49.46758242
2024,Rockville Center,5,Librarian II,N,79761.0,43.82472527
2024,Rockville Center,6,Head Custodian,N,79761.0,43.82472527
2024,Rockville Center,7,Senior Account Clerk,N,64795.0,35.60164835
2024,Rockville Center,8,Senior Account Clerk,N,64635.0,35.51373626
2024,Rockville Center,9,IT Specialist I,N,75190.0,41.31318681
2024,Rockville Center,10,Librarian II,N,60118.0,33.03186813
2024,Rockville Center,11,Librarian II,N,61395.0,33.73351648
2024,Rockville Center,12,Librarian II,N,65530.0,36.00549451
2024,Rockville Center,13,Librarian II,N,69212.0,38.02857143
2024,Rockville Center,14,Librarian II,N,77530.0,42.5989011
2024,Rockville Center,15,Librarian II,N,61395.0,33.73351648
2024,Rockville Center,16,Librarian II,N,64199.0,35.27417582
2024,Rockville Center,17,Librarian Trainee,N,50000.0,27.47252747
2024,Rockville Center,18,Sr. Library Clerk,N,49572.0,27.23736264
2024,Rockville Center,19,Sr. Library Clerk,N,47386.0,26.03626374
2024,Rockville Center,20,Sr. Library Clerk,N,49454.0,27.17252747
2024,Rockville Center,21,Sr. Library Clerk,N,46125.0,25.34340659
2024,Rockville Center,22,Typist Clerk,N,42000.0,23.07692308
2024,Rockville Center,23,Maintainer,N,73876.0,40.59120879
2024,Rockville Center,24,Cleaner,N,47320.0,26.0
2024,Rockville Center,25,PT Librarian II ,Y,,52.09
2024,Rockville Center,26,PT Librarian I,Y,,30.75
2024,Rockville Center,27,PT Librarian I,Y,,30.0
2024,Rockville Center,28,PT Librarian I,Y,,30.75
2024,Rockville Center,29,PT Librarian I,Y,,30.0
2024,Rockville Center,30,PT Librarian I,Y,,30.75
2024,Rockville Center,31,PT Librarian I,Y,,30.75
2024,Rockville Center,32,PT Librarian I,Y,,33.3
2024,Rockville Center,33,PT Librarian I,Y,,30.75
2024,Rockville Center,34,PT Librarian I,Y,,37.35
2024,Rockville Center,35,PT Librarian I,Y,,35.48
2024,Rockville Center,36,PT Librarian I,Y,,31.75
2024,Rockville Center,37,PT Library Assistant,Y,,30.26
2024,Rockville Center,38,Librarian Trainee PT,Y,,25.63
2024,Rockville Center,39,Librarian Trainee PT,Y,,25.63
2024,Rockville Center,40,Clerk PT,Y,,26.75
2024,Rockville Center,41,Clerk PT,Y,,26.05
2024,Rockville Center,42,Typist Clerk PT,Y,,26.39
2024,Rockville Center,43,Typist Clerk PT,Y,,23.23
2024,Rockville Center,44,Page,Y,,16.0
2024,Rockville Center,45,Page,Y,,16.0
2024,Rockville Center,46,Page,Y,,16.0
2024,Rockville Center,47,Page,Y,,17.18
2024,Rockville Center,48,Page,Y,,21.25
2024,Rockville Center,49,Page,Y,,16.0
2024,Rockville Center,50,Cleaner PT,Y,,25.5
2024,Rockville Center,51,Cleaner PT,Y,,30.38
2024,Rockville Center,52,Cleaner PT,Y,,28.14
2024,Rockville Center,53,Cleaner PT,Y,,20.5
