Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Roslyn (Bryant Library),1,Director,N,155000.04,
2024,Roslyn (Bryant Library),2,Assistant Director,N,104847.6,
2024,Roslyn (Bryant Library),3,Financial Administrator,N,99509.8,
2024,Roslyn (Bryant Library),4,Computer Support Tech II,N,77109.5,
2024,Roslyn (Bryant Library),5,Director of Public Relations & Programming,N,72000.24,
2024,Roslyn (Bryant Library),6,Librarian III,N,137613.32,
2024,Roslyn (Bryant Library),7,Librarian II ,N,81955.12,
2024,Roslyn (Bryant Library),8,Librarian II,N,81955.12,
2024,Roslyn (Bryant Library),9,Librarian II,N,93080.26,
2024,Roslyn (Bryant Library),10,Librarian II,N,85280.26,
2024,Roslyn (Bryant Library),11,Librarian II,N,83315.7,
2024,Roslyn (Bryant Library),12,Librarian II,N,75344.1,
2024,Roslyn (Bryant Library),13,Librarian II,N,81120.0,
2024,Roslyn (Bryant Library),14,Librarian I,N,70467.8,
2024,Roslyn (Bryant Library),15,Librarian I,N,70279.04,
2024,Roslyn (Bryant Library),16,Librarian I,N,73061.3,
2024,Roslyn (Bryant Library),17,Librarian I,N,75240.1,
2024,Roslyn (Bryant Library),18,Librarian I,N,70279.04,
2024,Roslyn (Bryant Library),19,Librarian Trainee,N,50081.46,
2024,Roslyn (Bryant Library),20,Principal Clerk,N,70065.84,
2024,Roslyn (Bryant Library),21,Senior Clerk,N,60075.6,
2024,Roslyn (Bryant Library),22,Clerk,N,45057.22,
2024,Roslyn (Bryant Library),23,Clerk,N,45057.22,
2024,Roslyn (Bryant Library),24,Clerk,N,41468.18,
2024,Roslyn (Bryant Library),25,Facilities Manager,N,77899.64,
2024,Roslyn (Bryant Library),26,Custodian,N,45500.0,
2024,Roslyn (Bryant Library),27,Archivist,Y,,45.92
2024,Roslyn (Bryant Library),28,Librarian,Y,,57.5
2024,Roslyn (Bryant Library),29,Librarian,Y,,43.16
2024,Roslyn (Bryant Library),30,Librarian,Y,,36.47
2024,Roslyn (Bryant Library),31,Librarian,Y,,34.2
2024,Roslyn (Bryant Library),32,Librarian,Y,,36.47
2024,Roslyn (Bryant Library),33,Librarian,Y,,37.25
2024,Roslyn (Bryant Library),34,Librarian,Y,,33.53
2024,Roslyn (Bryant Library),35,Librarian,Y,,34.2
2024,Roslyn (Bryant Library),36,Librarian Trainee,Y,,27.52
2024,Roslyn (Bryant Library),37,Librarian Trainee,Y,,28.07
2024,Roslyn (Bryant Library),38,Library Aide,Y,,23.02
2024,Roslyn (Bryant Library),39,Library Aide,Y,,22.59
2024,Roslyn (Bryant Library),40,Library Aide,Y,,20.5
2024,Roslyn (Bryant Library),41,Clerk,Y,,27.1
2024,Roslyn (Bryant Library),42,Clerk,Y,,21.23
2024,Roslyn (Bryant Library),43,Clerk,Y,,37.04
2024,Roslyn (Bryant Library),44,Clerk,Y,,19.09
2024,Roslyn (Bryant Library),45,Clerk,Y,,19.99
2024,Roslyn (Bryant Library),46,Clerk,Y,,25.25
2024,Roslyn (Bryant Library),47,Clerk,Y,,19.09
2024,Roslyn (Bryant Library),48,Custodian,Y,,40.35
