Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Sachem,2,Head Custodian,N,73310.0,
2024,Sachem,3,Custodian III,N,50442.0,
2024,Sachem,4,Custodian II,N,46942.0,
2024,Sachem,5,Custodian ,N,40000.0,
2024,Sachem,6,PT Custodian,Y,,16.0
2024,Sachem,8,Principal Clerk,N,51842.0,
2024,Sachem,9,Senior Clerk,N,49392.0,
2024,Sachem,10,FT Library Clerk,N,46942.0,
2024,Sachem,11,PT Clerk,Y,,17.0
2024,Sachem,13,Principal Account Clerk,N,92000.0,
2024,Sachem,14,Senior Account Clerk,N,69895.0,
2024,Sachem,15,Account Clerk,N,57000.0,
2024,Sachem,16,Office Assistant,N,47500.0,
2024,Sachem,18,Public Relations Assistant,Y,,35.8
2024,Sachem,20,Librarian III,N,69987.67,
2024,Sachem,21,Librarian II,N,65487.67,
2024,Sachem,22,Librarian,N,59237.67,
2024,Sachem,23,PT Librarian,Y,,27.0
2024,Sachem,25,Page,Y,,16.0
2024,Sachem,27,Network & Systems Specialist I,N,81076.0,
2024,Sachem,28,Network and Systems Technician,N,55031.0,
2024,Sachem,30,Director,N,202700.0,
2024,Sachem,31,Assistant Director,N,137000.0,
