Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Seaford,1,Library Director,N,149000.0,
2024,Seaford,2,Assistant Director,N,115916.0,
2024,Seaford,3,Librarian III,N,96983.0,
2024,Seaford,4,Librarian II,N,56952.0,
2024,Seaford,5,Librarian II,N,70616.0,
2024,Seaford,6,Librarian II,N,77282.0,
2024,Seaford,7,Librarian I,N,49480.0,
2024,Seaford,8,Librarian I,N,83760.0,
2024,Seaford,9,Library Trainee,Y,,23.0
2024,Seaford,10,Library Trainee,Y,,23.0
2024,Seaford,11,Library Trainee,Y,,23.0
2024,Seaford,12,Senior Account Clerk,N,136512.0,
2024,Seaford,13,Library Clerk,N,46410.0,
2024,Seaford,14,Senior Account Clerk,N,80586.0,
2024,Seaford,15,Library Clerk,N,38560.0,
2024,Seaford,16,Library Clerk,Y,,18.0
2024,Seaford,17,Library Clerk,Y,,18.0
2024,Seaford,18,Library Clerk,Y,,18.0
2024,Seaford,19,Cleaners,Y,,16.45
2024,Seaford,20,Cleaners,Y,,16.45
2024,Seaford,21,Cleaners,Y,,16.25
2024,Seaford,22,Cleaners,Y,,15.0
2024,Seaford,23,Page,Y,,15.0
2024,Seaford,24,Page,Y,,15.0
2024,Seaford,25,Page,Y,,15.0
2024,Seaford,26,Page,Y,,15.0
