Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Shelter Rock,4,Librarian II,N,72800.0,40.0
2024,Shelter Rock,5,Page ,Y,17972.5,19.75
2024,Shelter Rock,6,Typist Clerk,Y,16835.0,18.5
2024,Shelter Rock,7,Cleaner,Y,21385.0,23.5
2024,Shelter Rock,8,Page ,Y,15925.0,17.5
2024,Shelter Rock,9,Librarian I Sub,Y,28100.8,30.88
2024,Shelter Rock,10,Typist Clerk,N,54436.2,29.91
2024,Shelter Rock,11,Librarian I Sub,Y,28164.5,30.95
2024,Shelter Rock,12,Administrative Assistant,N,82009.2,45.06
2024,Shelter Rock,13,Cleaner,N,70379.4,38.67
2024,Shelter Rock,14,Page ,Y,15015.0,16.5
2024,Shelter Rock,15,Page ,Y,18655.0,20.5
2024,Shelter Rock,16,Librarian I,N,61880.0,34.0
2024,Shelter Rock,17,Librarian I,N,56656.6,31.13
2024,Shelter Rock,18,Cleaner,Y,35945.0,19.75
2024,Shelter Rock,19,Page ,Y,18655.0,20.5
2024,Shelter Rock,20,Typist Clerk,Y,16835.0,18.5
2024,Shelter Rock,21,Librarian II,N,129602.2,71.21
2024,Shelter Rock,22,Librarian I,N,56656.6,31.13
2024,Shelter Rock,23,Librarian I Sub,N,56456.4,31.02
2024,Shelter Rock,24,Senior Clerk,N,55619.2,30.56
2024,Shelter Rock,25,Cleaner,Y,19110.0,21.0
2024,Shelter Rock,26,Librarian I Sub,N,57603.0,31.65
2024,Shelter Rock,27,Custodian,N,60970.0,33.5
2024,Shelter Rock,28,Typist Clerk,Y,16835.0,18.5
2024,Shelter Rock,29,Cleaner,Y,17972.5,19.75
2024,Shelter Rock,30,Director,N,183274.0,100.7
2024,Shelter Rock,31,Secretary,N,61552.4,33.82
2024,Shelter Rock,32,Information Technology Aide,Y,18882.5,20.75
2024,Shelter Rock,33,Page ,Y,18655.0,20.5
2024,Shelter Rock,34,Librarian II,N,81244.8,44.64
2024,Shelter Rock,35,Typist Clerk,N,38220.0,21.0
2024,Shelter Rock,36,Assistant Director,N,102138.4,56.12
2024,Shelter Rock,37,Page ,N,45063.2,24.76
2024,Shelter Rock,38,Page ,Y,15925.0,17.5
2024,Shelter Rock,39,Page ,Y,15925.0,17.5
2024,Shelter Rock,40,Information Technology Aide,N,40040.0,22.0
2024,Shelter Rock,41,Information Technology Aide,Y,21157.5,23.25
2024,Shelter Rock,42,Information Technology Specialist,N,68832.4,37.82
2024,Shelter Rock,43,Page ,Y,15925.0,17.5
