Year,Library Name,Employee Number,Job Title,Part Time,Salary
2024,Smithtown Professional,1,LIB I,N,69413.0
2024,Smithtown Professional,2,LIB I,N,69413.0
2024,Smithtown Professional,3,LIB I,N,69413.0
2024,Smithtown Professional,4,LIB I,N,69413.0
2024,Smithtown Professional,5,LIB I,N,69413.0
2024,Smithtown Professional,6,LIB I,N,69413.0
2024,Smithtown Professional,7,LIB I,N,69413.0
2024,Smithtown Professional,8,LIB I,N,69413.0
2024,Smithtown Professional,9,LIB I,N,69413.0
2024,Smithtown Professional,10,LIB I,N,69413.0
2024,Smithtown Professional,11,LIB I,N,69413.0
2024,Smithtown Professional,12,LIB I,N,69413.0
2024,Smithtown Professional,13,LIB I,N,69413.0
2024,Smithtown Professional,14,LIB I,N,69413.0
2024,Smithtown Professional,15,LIB I,N,69413.0
2024,Smithtown Professional,16,LIB I,N,69413.0
2024,Smithtown Professional,17,LIB I,N,69413.0
2024,Smithtown Professional,18,LIB I,N,69413.0
2024,Smithtown Professional,19,LIB I,N,69413.0
2024,Smithtown Professional,20,LIB I,N,69413.0
2024,Smithtown Professional,21,LIB I,N,69413.0
2024,Smithtown Professional,22,LIB I,N,69413.0
2024,Smithtown Professional,23,LIB II,N,74771.0
2024,Smithtown Professional,24,LIB II,N,74771.0
2024,Smithtown Professional,25,LIB II,N,74771.0
2024,Smithtown Professional,26,LIB II,N,74771.0
2024,Smithtown Professional,27,LIB II,N,74771.0
2024,Smithtown Professional,28,LIB II,N,74771.0
2024,Smithtown Professional,29,LIB II,N,74771.0
2024,Smithtown Professional,30,LIB II,N,74771.0
2024,Smithtown Professional,31,LIB II,N,74771.0
2024,Smithtown Professional,32,LIB II,N,74771.0
2024,Smithtown Professional,33,LIB II,N,74771.0
2024,Smithtown Professional,34,LIB II,N,74771.0
2024,Smithtown Professional,35,LIB II,N,74771.0
2024,Smithtown Professional,36,LIB II,N,74771.0
2024,Smithtown Professional,37,LIB III,N,80407.0
2024,Smithtown Professional,38,LIB III,N,80407.0
2024,Smithtown Professional,39,LIB III,N,80407.0
2024,Smithtown Professional,40,LIB III,N,80407.0
2024,Smithtown Professional,41,LIB III,N,80407.0
2024,Smithtown Professional,42,LIB III,N,80407.0
2024,Smithtown Professional,43,LIB III,N,80407.0
2024,Smithtown Professional,44,LIB IV,N,86333.0
2024,Smithtown Professional,45,LIB IV,N,86333.0
