Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Southampton (Rogers Memorial),1,"Supervisor, Librarian, Reference",N,101370.0,
2024,Southampton (Rogers Memorial),2,"Supervisor, Librarian, Childrens",N,112563.0,
2024,Southampton (Rogers Memorial),3,"Supervisor, Librarian, Teen",N,86073.0,
2024,Southampton (Rogers Memorial),4,"Supervisor, Librarian, Computer/Tech",N,81882.0,
2024,Southampton (Rogers Memorial),5,"Supervisor, Tech Services (non mls)",N,96534.0,
2024,Southampton (Rogers Memorial),6,Supervisor Circulations (non-mls),N,65213.0,
2024,Southampton (Rogers Memorial),7,"Supervisor, Buildings and Grounds",N,107217.0,
2024,Southampton (Rogers Memorial),8,"Asst Supervisor Librarian, Childrens",N,96121.0,
2024,Southampton (Rogers Memorial),9,"Librarian, Reference",N,70295.0,
2024,Southampton (Rogers Memorial),10,"Librarian, Reference",N,67000.0,
2024,Southampton (Rogers Memorial),11,"Librarian, Reference",N,66000.0,
2024,Southampton (Rogers Memorial),12,"Librarian Trainee, Reference",N,45500.0,
2024,Southampton (Rogers Memorial),13,"Librarian, Childrens",N,75118.0,
2024,Southampton (Rogers Memorial),14,"Librarian Trainee, Teen",N,45500.0,
2024,Southampton (Rogers Memorial),15,"Clerk, Childrens",N,58913.0,
2024,Southampton (Rogers Memorial),16,"Clerk, Childrens",N,47320.0,
2024,Southampton (Rogers Memorial),17,"Clerk, Childrens, PT",Y,,26.83
2024,Southampton (Rogers Memorial),18,"Clerk, Childrens, PT",Y,,20.9
2024,Southampton (Rogers Memorial),19,"Clerk, Teen",N,50554.0,
2024,Southampton (Rogers Memorial),20,"Clerk, Computer/Tech",N,37856.0,
2024,Southampton (Rogers Memorial),21,"Clerk, Tech Services",N,47320.0,
2024,Southampton (Rogers Memorial),22,Clerk Tech Services,N,37856.0,
2024,Southampton (Rogers Memorial),23,"Clerk, Tech Services",N,36135.0,
2024,Southampton (Rogers Memorial),24,"Clerk, Tech Services",N,34580.0,
2024,Southampton (Rogers Memorial),25,"Clerk, Circulation",N,38038.0,
2024,Southampton (Rogers Memorial),26,"Clerk, Circulation",N,34000.0,
2024,Southampton (Rogers Memorial),27,"Clerk, Circulation, PT",Y,,20.9
2024,Southampton (Rogers Memorial),28,"Custodian, PT",Y,,22.61
2024,Southampton (Rogers Memorial),29,"Custodian, PT",Y,,20.13
2024,Southampton (Rogers Memorial),30,"Page, PT",Y,,16.0
2024,Southampton (Rogers Memorial),31,Director,N,179000.0,
