Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Unkown Libraries,1,Library Director,N,117778.0,
2024,Unkown Libraries,2,Librarian II,N,105087.0,
2024,Unkown Libraries,3,Librarian I,N,91109.0,
2024,Unkown Libraries,4,Senior Library Clerk,N,61825.0,
2024,Unkown Libraries,5,Account Clerk,N,70325.0,
2024,Unkown Libraries,6,Library Aide,N,74019.0,
2024,Unkown Libraries,7,Clerical Aide P/H,N,58440.0,
2024,Unkown Libraries,8,Typist-Clerk P/T,Y,27024.0,30.570135746606336
2024,Unkown Libraries,9,Library Page P/T,Y,15744.0,17.809954751131222
2024,Unkown Libraries,10,Director,N,99075.0,
2024,Unkown Libraries,11,Librarian I,N,93525.0,
2024,Unkown Libraries,12,Librarian II,N,85424.0,
2024,Unkown Libraries,13,Librarian I,N,86089.0,
2024,Unkown Libraries,14,Librarian II,N,83097.0,
2024,Unkown Libraries,15,Librarian III,N,113229.0,
2024,Unkown Libraries,16,Librarian II,N,103641.0,
2024,Unkown Libraries,17,Librarian II,N,78632.0,
2024,Unkown Libraries,18,Librarian I,N,72944.0,
2024,Unkown Libraries,19,Librarian II,N,92803.0,
2024,Unkown Libraries,20,Librarian II,N,115746.0,
2024,Unkown Libraries,21,Librarian I,N,83745.0,
2024,Unkown Libraries,22,Librarian I,N,70958.0,
2024,Unkown Libraries,23,Librarian III,N,104227.0,
2024,Unkown Libraries,24,Librarian I,N,77086.0,
2024,Unkown Libraries,25,Librarian II,N,87816.0,
2024,Unkown Libraries,26,Librarian III,N,104227.0,
2024,Unkown Libraries,27,Librarian I,N,72944.0,
2024,Unkown Libraries,28,Librarian I,N,72944.0,
2024,Unkown Libraries,29,Librarian II,N,90275.0,
2024,Unkown Libraries,30,Library Clerk,N,47891.0,
2024,Unkown Libraries,31,Senior Library Clerk,N,90317.0,
2024,Unkown Libraries,32,Senior Library Clerk,N,52137.0,
2024,Unkown Libraries,33,Library Clerk,N,53484.0,
2024,Unkown Libraries,34,Library Clerk,N,47891.0,
2024,Unkown Libraries,35,Library Clerk,N,45318.0,
2024,Unkown Libraries,36,Principal Library Clerk,N,75114.0,
2024,Unkown Libraries,37,Senior Account Clerk,N,73913.0,
2024,Unkown Libraries,38,Network & System Administrator II,N,129994.0,
2024,Unkown Libraries,39,Library Clerk,N,64890.0,
2024,Unkown Libraries,40,Network & System Technician,N,69776.0,
2024,Unkown Libraries,41,Senior Library Clerk,N,47992.0,
2024,Unkown Libraries,42,Library Clerk,N,41714.0,
2024,Unkown Libraries,43,Library Clerk,N,41714.0,
2024,Unkown Libraries,44,Business Manager,N,93000.0,
2024,Unkown Libraries,45,Senior Library Clerk,N,76745.0,
2024,Unkown Libraries,46,Library Clerk,N,41714.0,
2024,Unkown Libraries,47,Custodial Worker I,N,43667.0,
2024,Unkown Libraries,48,Custodial Worker II,N,83560.0,
2024,Unkown Libraries,49,Custodial Supervisor,N,121489.0,
2024,Unkown Libraries,50,Custodial Worker I,N,44890.0,
2024,Unkown Libraries,51,Library Director,N,95000.0,
2024,Unkown Libraries,52,Director - Public Library - Village,N,81000.0,
2024,Unkown Libraries,53,Director,N,120000.0,
2024,Unkown Libraries,54,Library Director,N,115763.0,
