Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Wantagh,2,NLA - SENIOR LIBRARY CLERK,N,62974.0,
2024,Wantagh,3,NMH - LIBRARIAN I part time substitute,Y,,30.0
2024,Wantagh,4,AFL - TYPIST-CLERK (PART-TIME),Y,,19.93
2024,Wantagh,5,EAF - Personnel Clerk,Y,,59.0
2024,Wantagh,6,1KJ - CLEANER (PART-TIME),Y,,18.78
2024,Wantagh,7,1KK - CLEANER,N,59098.0,
2024,Wantagh,8,NME - LIBRARIAN I (PART-TIME),Y,,37.1
2024,Wantagh,9,NMF - LIBRARIAN I,N,69726.0,
2024,Wantagh,10, NMF - LIBRARIAN I,N,69726.0,
2024,Wantagh,11,NNA - LIBRARIAN II,N,77168.0,
2024,Wantagh,12,ACD - CLERK,N,64111.0,
2024,Wantagh,13,AGB - TYPIST-CLERK(PART TIME SUBSTITUTE),Y,,19.0
2024,Wantagh,14,NMF - LIBRARIAN I,N,71291.0,
2024,Wantagh,15,AFL - TYPIST-CLERK (PART-TIME),Y,,18.0
2024,Wantagh,16,NQK - LIBRARY DIRECTOR,N,126880.0,
2024,Wantagh,17,1MA - CUSTODIAN,N,62097.0,
2024,Wantagh,18,NME - LIBRARIAN I (PART-TIME),Y,,37.1
2024,Wantagh,19,NMH - LIBRARIAN I part time substitute,Y,,35.0
2024,Wantagh,20,NMR - Part Time Librarian II,Y,,49.66
2024,Wantagh,21,AFT - Part Time Typist Clerk,Y,,19.92
2024,Wantagh,22,AGA - TYPIST-CLERK,N,55076.0,
2024,Wantagh,23,NNA - LIBRARIAN II,N,74610.0,
