Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,West Babylon,1,Library Director,N,146970.0,
2024,West Babylon,2,Librarian III,N,91035.0,
2024,West Babylon,3,Librarian II,N,75949.0,
2024,West Babylon,4,Librarian I,Y,64168.0,32.67
2024,West Babylon,5,Business Manager I,N,88434.0,
2024,West Babylon,6,Library Assistant,N,50219.0,
2024,West Babylon,7,Network and Systems Tech,N,64168.0,
2024,West Babylon,8,Principal Library Clerk,N,50525.0,
2024,West Babylon,9,Senior Library Clerk,N,44114.0,
2024,West Babylon,10,Library Clerk,Y,39627.0,17.93
2024,West Babylon,11,Senior Account Clerk,N,55000.0,
2024,West Babylon,12,Maintenance Mechanic II,Y,,34.62
2024,West Babylon,13,Maintenance Mechanic I,Y,,23.11
2024,West Babylon,14,Custodian,Y,,19.13
2024,West Babylon,15,Page,Y,,16.0
2024,West Babylon,16,Security Guard,Y,,20.78
