Year,Library Name,Employee Number,Job Title,Part Time,Salary,Hourly
2024,Westhampton,1,Pages,Y,,15.86
2024,Westhampton,2,Clerks,Y,,18.49
2024,Westhampton,3,Page Trainer,Y,,16.77
2024,Westhampton,4,Digital Technician PT,Y,,19.72
2024,Westhampton,5,Libs PT,Y,,29.56
2024,Westhampton,6,Lib Asst,Y,,22.14
2024,Westhampton,7,Libr Trainee/ Prog w/o MLS P/FT,Y,,22.47
2024,Westhampton,8,FT Libs/Programmers,N,53084.75,
2024,Westhampton,9,FT Clerk,N,32525.62,
2024,Westhampton,10,FT Clerical Asst,N,37260.45,
2024,Westhampton,11,FT Lib Asst,N,41487.76,
2024,Westhampton,12,FT Lib. Trainee,N,42101.87,
2024,Westhampton,13,Bilingual Clerk PT,Y,,18.64
2024,Westhampton,14,Bilingual Librarian PT,Y,,30.62
2024,Westhampton,15,Bilingual Librarian Asst PT,Y,,22.66
2024,Westhampton,16,Bilingual Clerk FT,N,32809.65,
2024,Westhampton,17,Bilingual Librarian FT,N,54964.17,
2024,Westhampton,18,Bilingual Librarian Asst FT,N,42434.53,
2024,Westhampton,19,Bilingual Lib. Trainee,Y,,23.26
2024,Westhampton,20,Bilingual Lib. Trainee FT,N,43535.98,
2024,Westhampton,21,Pages,Y,,15.78
2024,Westhampton,22,Clerks,Y,,18.4
2024,Westhampton,23,Page Trainer,Y,,16.69
2024,Westhampton,24,Digital Technician PT,Y,,19.62
2024,Westhampton,25,Libs PT,Y,,29.42
2024,Westhampton,26,Lib Asst,Y,,22.03
2024,Westhampton,27,Libr Trainee/ Prog w/o MLS P/FT,Y,,22.36
2024,Westhampton,28,FT Libs/Programmers,N,52825.8,
2024,Westhampton,29,FT Clerk,N,32366.18,
2024,Westhampton,30,FT Clerical Asst,N,37077.8,
2024,Westhampton,31,FT Lib Asst,N,41486.75,
2024,Westhampton,32,FT Lib. Trainee,N,41896.5,
2024,Westhampton,33,Bilingual Clerk PT,Y,,18.55
2024,Westhampton,34,Bilingual Librarian PT,Y,,30.47
2024,Westhampton,35,Bilingual Libarian Asst PT,Y,,22.77
2024,Westhampton,36,Bilingual Clerk FT,N,32648.82,
2024,Westhampton,37,Bilingual Librarian FT,N,54728.61,
2024,Westhampton,38,Bilingual Librarian Asst FT,N,42226.51,
2024,Westhampton,39,Bilingual Lib. Trainee,Y,,23.15
2024,Westhampton,40,Bilingual Lib. Trainee FT,N,43323.61,
2024,Westhampton,41,Pages,Y,,15.7
2024,Westhampton,42,Clerks,Y,,18.31
2024,Westhampton,43,Page Trainer,Y,,16.61
2024,Westhampton,44,Digital Technician PT,Y,,19.52
2024,Westhampton,45,Libs PT,Y,,29.28
2024,Westhampton,46,Lib Asst,Y,,21.92
2024,Westhampton,47,Libr Trainee/ Prog w/o MLS P/FT,Y,,22.25
2024,Westhampton,48,FT Libs/Programmers,N,52568.11,
2024,Westhampton,49,FT Clerk,N,32207.52,
2024,Westhampton,50,FT Clerical Asst,N,36896.05,
2024,Westhampton,51,FT Lib Asst,N,41082.01,
2024,Westhampton,52,FT Lib. Trainee,N,41692.12,
2024,Westhampton,53,Bilingual Clerk PT,Y,,30.02
2024,Westhampton,54,Bilingual Librarian PT,Y,,22.66
2024,Westhampton,55,Bilingual Libarian Asst PT,N,32648.82,
2024,Westhampton,56,Bilingual Librarian FT,N,53929.02,
2024,Westhampton,57,Bilingual Librarian Asst FT,N,42226.51,
2024,Westhampton,58,Bilingual Lib. Trainee,Y,,23.03
2024,Westhampton,59,Bilingual Lib. Trainee FT,N,43112.27,
2024,Westhampton,60,Assistant Director,N,99135.0,
2024,Westhampton,61,Director,N,152500.0,
