Year,Library Name,Employee Number,Part time,Salary,Hourly
2024,Baldwin,1,No,115000.0,
2024,Baldwin,2,No,62000.0,
2024,Baldwin,3,No,85000.0,
2024,Baldwin,4,No,65000.0,
2024,Baldwin,5,No,60000.0,
2024,Baldwin,6,No,50000.0,
2024,Baldwin,7,No,48726.0,
2024,Baldwin,8,No,36400.0,
2024,Baldwin,9,No,40000.0,
2024,Baldwin,10,No,40000.0,
2024,Baldwin,11,No,40000.0,
2024,Baldwin,12,No,43000.0,
2024,Baldwin,13,No,30000.0,
2024,Baldwin,14,No,35000.0,
2024,Baldwin,15,No,45000.0,
2024,Baldwin,16,,,
2024,Baldwin,17,Yes,,50.0
2024,Baldwin,18,Yes,,26.0
2024,Baldwin,19,Yes,,26.0
2024,Baldwin,20,Yes,,26.0
2024,Baldwin,21,Yes,,19.0
2024,Baldwin,22,Yes,,20.0
2024,Baldwin,23,Yes,,19.0
2024,Baldwin,24,Yes,,19.0
2024,Baldwin,25,Yes,,19.0
2024,Baldwin,26,Yes,,15.0
2024,Baldwin,27,Yes,,20.0
2024,Baldwin,28,Yes,,20.0
