Year,Library Name,Employee Number,Part time,Salary,Hourly
2024,Bellmore,1,No,105300.0,54.0
2024,Bellmore,2,No,72800.0,40.0
2024,Bellmore,3,No,54600.0,30.0
2024,Bellmore,4,Yes,,30.0
2024,Bellmore,5,No,50960.0,28.0
2024,Bellmore,6,Yes,,28.0
2024,Bellmore,7,Yes,,28.0
2024,Bellmore,8,Yes,,28.0
2024,Bellmore,9,No,50960.0,28.0
2024,Bellmore,10,No,36400.0,20.0
2024,Bellmore,11,Yes,,20.0
2024,Bellmore,12,No,50960.0,28.0
2024,Bellmore,13,No,54600.0,30.0
2024,Bellmore,14,No,54600.0,30.0
2024,Bellmore,15,No,50960.0,28.0
2024,Bellmore,16,No,41860.0,23.0
2024,Bellmore,17,No,45500.0,25.0
2024,Bellmore,18,No,32760.0,18.0
2024,Bellmore,19,No,32760.0,18.0
2024,Bellmore,20,Yes,,18.0
2024,Bellmore,21,Yes,,18.0
2024,Bellmore,22,Yes,,18.0
2024,Bellmore,23,Yes,,18.0
2024,Bellmore,24,No,45500.0,25.0
2024,Bellmore,25,No,41860.0,23.0
2024,Bellmore,26,No,32760.0,18.0
2024,Bellmore,27,No,36400.0,20.0
2024,Bellmore,28,No,32760.0,18.0
2024,Bellmore,29,No,27300.0,15.0
2024,Bellmore,30,Yes,,15.0
2024,Bellmore,31,Yes,,15.0
