Other Title (if different than civil service title),2024 Annual Base Salary,2024 Hourly Rate (Part-Time)
Director,115763,
"Business Manager,  Full-time",64275,
"Business Office Clerk,  Full-time",49506,
"Building & Grounds Manager, Full-time",60785,
"Librarian- Department Managers,  Full-time","$62,130-70,987",
"Librarian,  Full-time","$54,590-56,607",
"Librarian,  Part-time",,33
"Librarian Trainee,  Part-time",,$22.00-26.00
"Clerk,  Full-time",37000,
"Clerk,  Part-time",,$18-29.71
"Library Aide, Part-time",,$16.50-19.50
